ticket_id,customer_id,order_id,ticket_category,ticket_created_date,resolution_status,resolution_time_hours,customer_sentiment
7500092,113131,9021338,Account Issue,25-03-2022 18:04,Escalated,185,Neutral
7500093,139358,9062064,Payment Issue,13-07-2024 09:13,Open,87,Neutral
7500094,112202,9238727,Payment Issue,18-01-2023 18:10,Open,24,Neutral
7500095,126792,9007631,Wrong Item,08-11-2024 22:54,Resolved,1,Neutral
7500096,101603,,,02-09-2023 14:27,Resolved,234,Positive
7500097,116409,9049733,Delivery Issue,19-05-2024 23:11,Open,24,Neutral
7500098,125550,,Payment Issue,22-09-2022 13:55,Resolved,18,Negative
7500099,140393,9135425,Account Issue,17-10-2023 18:59,Escalated,12,Neutral
7500100,118203,9240975,Account Issue,16-09-2024 01:05,Escalated,142,Neutral
7500101,2,9116858,,28-12-2022 18:44,Open,55,Neutral
7500102,113191,9184028,Cancellation,24-08-2022 23:47,Resolved,6034,Negative
7500103,118295,9231575,Cancellation,26-07-2022 21:56,Open,27,Negative
7500104,137829,9155587,Technical Support,28-12-2022 16:15,Open,-7,Positive
7500105,131574,9223502,Delivery Issue,10-06-2022 21:30,Escalated,177,
7500106,123927,9214185,Account Issue,22-10-2023 21:00,Resolved,22,Negative
7500107,119535,9052907,Payment Issue,22-04-2024 20:18,RESOLVED,16,Negative
7500108,143234,9238574,Payment Issue,26-05-2023 18:30,Escalated,40,
7500109,133047,9026991,Wrong Item,16-07-2024 09:43,Open,21,Neutral
7500110,132755,9148482,Product Quality,25-09-2023 23:13,Resolved,18,Negative
7500111,100422,9004486,Delivery Issue,19-07-2024 20:42,Open,65,Neutral
7500112,140036,9135219,Refund,12-10-2022 20:49,Resolved,148,Negative
7500113,118095,9022728,Product Quality,03-04-2023 11:04,Resolved,-9,Neutral
7500114,109774,9236102,Wrong Item,28-03-2025 15:23,RESOLVED,58,Positive
7500115,133552,9037017,Payment Issue,18-05-2024 07:29,RESOLVED,5851,Negative
7500116,100764,9182969,,14-07-2022 18:06,Open,19,Negative
7500117,144026,9213830,Delivery Issue,10-01-2023 04:23,Open,71,Neutral
7500118,138525,9042331,Cancellation,22-07-2024 17:17,Open,7,Negative
7500119,133406,,Account Issue,13-02-2023 20:22,Resolved,164,Neutral
7500120,123168,9186969,Wrong Item,14-04-2024 08:53,Resolved,51,Positive
7500121,134364,9033821,Payment Issue,31-03-2024 19:58,RESOLVED,4,Negative
7500122,120371,9169959,Product Quality,10-05-2022 21:50,Open,15,Negative
7500123,125263,9208421,Delivery Issue,06-11-2024 19:16,Open,64,Neutral
7500124,131507,9031142,Return Request,04-02-2025 05:41,Resolved,65,Neutral
7500125,128894,9028686,Wrong Item,26-02-2022 19:00,Escalated,134,
7500126,117532,,Technical Support,10-03-2025 18:18,Open,-1,Positive
7500127,132672,,Technical Support,26-07-2024 13:09,Resolved,-6,Neutral
7500128,113975,9226457,Payment Issue,08-12-2023 15:50,Resolved,12,Negative
7500129,148361,9163050,Payment Issue,20-01-2023 09:30,Escalated,8,Negative
7500130,103757,9217917,Wrong Item,09-05-2022 18:48,Open,-5,Neutral
7500131,129755,9155516,Refund,24-10-2022 20:39,Open,10,Neutral
7500132,108998,9178970,Wrong Item,07-07-2026 10:00,Resolved,1,Neutral
7500133,117604,9038354,Delivery Issue,26-03-2025 17:28,Escalated,237,Negative
7500134,143416,9149575,Account Issue,17-08-2022 22:38,Open,72,Neutral
7500135,110957,9074432,Cancellation,13-05-2023 10:36,Resolved,3,Neutral
7500136,120078,9120201,Delivery Issue,19-09-2023 07:31,Open,152,Positive
7500137,108658,9216258,Return Request,23-01-2023 09:02,Resolved,13,Negative
7500138,116091,9132418,Account Issue,11-07-2023 13:56,Open,19,Neutral
7500139,141901,9123003,Product Quality,26-01-2024 21:12,Open,1707,Positive
7500140,108808,9048777,Return Request,26-05-2023 20:31,Resolved,18,Neutral
7500141,106713,9227081,Cancellation,25-03-2024 14:44,Open,21,
7500142,148148,9198546,Technical Support,08-03-2023 19:48,Resolved,162,Negative
7500143,130658,9165159,Return Request,04-01-2023 13:36,Escalated,9300,Negative
7500144,137253,9080057,Delivery Issue,30-03-2024 15:14,Escalated,61,Negative
7500145,121687,9096768,Wrong Item,28-01-2025 20:03,Open,24,Negative
7500146,120789,9229691,Product Quality,25-06-2022 12:48,Open,204,
7500147,130888,9132287,Delivery Issue,18-08-2024 19:40,Resolved,17,Negative
7500148,119346,9049616,Delivery Issue,14-08-2024 18:30,Open,47,Negative
7500149,123869,9109081,,22-03-2023 17:51,Resolved,41,Negative
7500150,136000,9163146,Cancellation,30-06-2022 09:12,Resolved,58,Negative
7500151,139475,9239503,Delivery Issue,02-01-2025 22:51,Resolved,113,Negative
7500152,104801,9226317,Technical Support,09-11-2024 09:43,Escalated,-8,Negative
7500153,145709,9035857,Product Quality,29-08-2022 20:17,Open,2,Neutral
7500154,128252,9035391,Payment Issue,29-12-2022 13:54,Open,43,Positive
7500155,134721,9090651,Delivery Issue,25-09-2023 20:11,Escalated,15,Positive
7500156,123908,,Delivery Issue,19-10-2023 10:32,Escalated,22,Neutral
7500157,137084,9225938,Refund,04-01-2023 17:56,Resolved,4,Positive
7500158,105505,,Account Issue,23-09-2022 23:39,Resolved,-8,Positive
7500159,117240,9122616,Delivery Issue,24-12-2022 22:06,Closed,10,Neutral
7500160,121887,9015517,Payment Issue,15-03-2023 17:05,Resolved,33,Positive
7500161,119944,9041427,,08-07-2024 20:45,Resolved,15,Negative
7500162,148765,9141887,Delivery Issue,07-05-2022 19:15,Resolved,45,Positive
7500163,126379,9245521,Delivery Issue,31-12-2022 21:29,Resolved,63,
7500164,149672,9225715,Payment Issue,13-03-2023 14:35,Resolved,24,Positive
7500165,130524,9137409,Account Issue,08-12-2024 16:11,Open,226,Neutral
7500166,121319,9209179,,06-05-2023 13:31,Escalated,30,Positive
7500167,127746,9182777,Wrong Item,15-10-2023 09:00,Open,2,Neutral
7500168,146696,9240006,Account Issue,26-09-2022 15:15,Open,-9,Negative
7500169,126514,9035545,Cancellation,25-07-2024 19:26,Resolved,168,Positive
7500170,129326,9151234,Return Request,22-12-2023 19:27,Escalated,178,Positive
7500171,147785,9024491,Cancellation,14-07-2024 08:10,Open,153,Negative
7500172,147956,,Payment Issue,21-10-2024 23:42,Escalated,15,Negative
7500173,149016,9226994,Refund,09-09-2024 12:36,Resolved,9,Positive
7500174,126943,9216377,Cancellation,13-10-2023 17:32,Resolved,24,Negative
7500175,148160,,Cancellation,09-07-2024 18:04,Open,1,Negative
7500176,107275,9114936,Return Request,30-11-2024 20:05,Escalated,-10,Neutral
7500177,134094,9098487,Account Issue,20-07-2023 19:41,Open,19,Positive
7500178,122540,9168839,Return Request,29-08-2024 08:33,Resolved,62,Positive
7500179,104500,9209206,Wrong Item,18-03-2023 18:26,Resolved,21,Neutral
7500180,135429,9040376,Cancellation,22-12-2023 11:18,Open,216,Neutral
7500181,114784,9189587,Payment Issue,23-03-2022 16:48,Open,22,Neutral
7500182,123775,,Product Quality,25-08-2024 13:07,Open,31,
7500183,127459,9106347,Account Issue,25-08-2026 10:00,Open,60,Positive
7500184,111234,9001930,,21-09-2022 11:04,Resolved,31,Positive
7500185,102756,9110299,Product Quality,23-11-2024 17:33,Resolved,230,Neutral
7500186,130452,9183566,,10-12-2022 09:25,Open,53,Negative
7500187,121135,9143340,Wrong Item,11-08-2023 19:44,Escalated,12,Neutral
7500188,277,9054822,Account Issue,10-09-2024 20:08,Escalated,20,Neutral
7500189,125789,9220499,Wrong Item,22-11-2022 21:06,Open,224,Neutral
7500190,125099,9092870,Product Quality,06-02-2023 08:24,Resolved,17,Negative
7500191,111165,9194316,,01-05-2023 15:28,Resolved,112,Neutral
7500192,102034,9208843,Cancellation,26-12-2023 17:19,Escalated,27,Negative
7500193,115285,9066516,Account Issue,11-02-2025 19:40,Resolved,9,Negative
7500194,111087,,Refund,18-10-2022 18:40,Resolved,9660,Negative
7500195,120731,9221661,Payment Issue,26-10-2022 09:34,Escalated,213,Positive
7500196,141598,9031782,Technical Support,31-05-2024 09:51,Resolved,97,Neutral
7500197,126996,,Delivery Issue,11-05-2022 23:45,Escalated,26,Positive
7500198,127716,9143680,Product Quality,28-09-2024 13:48,Escalated,17,Negative
7500199,127975,9184886,Product Quality,31-10-2022 23:49,Resolved,138,Negative
7500200,110952,9000584,,30-09-2023 12:47,Open,6,Neutral
7500201,117130,9125420,Payment Issue,10-01-2023 21:51,Resolved,59,Negative
7500202,147942,,Product Quality,03-03-2022 14:34,Resolved,45,Neutral
7500203,132785,9043363,Return Request,04-04-2024 18:53,Escalated,32,Neutral
7500204,116485,9096091,Wrong Item,09-03-2025 17:34,Open,-7,Negative
7500205,115275,9114150,Refund,12-08-2024 15:51,Open,36,Negative
7500206,135383,9114391,Product Quality,10-07-2022 23:21,Open,197,Neutral
7500207,124501,9112111,Product Quality,26-08-2023 19:31,Open,10,Neutral
7500208,143976,9046807,Payment Issue,22-12-2022 11:20,RESOLVED,8,Positive
7500209,140377,9034989,Return Request,02-06-2023 07:05,Resolved,8,Negative
7500210,136526,9079341,Refund,07-11-2022 13:29,Resolved,99,Positive
7500211,137980,9051064,Return Request,24-11-2024 19:42,Open,19,Negative
7500212,147957,9011413,Wrong Item,22-10-2024 13:12,Resolved,6,Negative
7500213,104021,9087594,,27-01-2023 18:43,Closed,185,Positive
7500214,105851,9027535,,23-03-2025 21:34,Resolved,20,Positive
7500215,108724,9067488,Product Quality,05-01-2024 15:48,Resolved,22,Negative
7500216,139315,9051166,Product Quality,16-10-2022 21:16,Open,12,Neutral
7500217,109506,9111720,Account Issue,18-10-2023 05:01,Open,2,Negative
7500218,101638,9218244,Product Quality,26-12-2022 13:34,Open,112,Positive
7500219,145221,9106856,Account Issue,02-11-2022 22:53,Open,8,Negative
7500220,116893,9152078,Wrong Item,20-10-2023 20:44,Resolved,207,Positive
7500221,110188,9077144,Payment Issue,24-02-2022 19:52,Open,10,Negative
7500222,138737,9086974,Return Request,27-10-2022 08:11,Closed,60,Positive
7500223,107055,9158445,Refund,10-12-2023 20:52,Resolved,3,Negative
7500224,109062,9210227,Cancellation,12-01-2025 19:28,RESOLVED,-7,Positive
7500225,135656,9023494,Cancellation,09-11-2024 19:32,Escalated,1086,Negative
7500226,101382,,Delivery Issue,06-05-2024 21:20,Escalated,71,Negative
7500227,142657,9013444,Delivery Issue,22-04-2023 18:37,Resolved,-9,Positive
7500228,105624,9084175,Delivery Issue,07-11-2022 08:22,Resolved,43,Positive
7500229,141729,9115646,Return Request,20-08-2023 12:11,Resolved,58,Positive
7500230,102803,9196119,Account Issue,27-01-2024 10:48,Open,8012,Neutral
7500231,112287,,Account Issue,22-01-2023 17:52,Resolved,87,Negative
7500232,109598,9023639,Wrong Item,03-02-2025 07:55,Escalated,53,Negative
7500233,118289,9105396,Product Quality,02-02-2024 08:44,Open,13,Neutral
7500234,118930,9061167,Payment Issue,03-02-2023 15:36,Open,-3,Negative
7500235,116875,9243628,Technical Support,02-07-2023 03:34,Open,47,Positive
7500236,149937,9159514,Return Request,09-01-2025 17:32,Resolved,40,Negative
7500237,141407,9021024,Account Issue,21-06-2022 19:30,Resolved,17,Negative
7500238,124393,9048886,Cancellation,24-11-2023 17:53,Resolved,73,
7500239,128984,9173389,Wrong Item,02-01-2022 22:28,Open,54,Positive
7500240,145373,9202361,Account Issue,27-03-2023 21:55,open,9943,Neutral
7500241,121649,9081699,Cancellation,23-05-2022 19:17,Resolved,54,Neutral
7500242,129260,9204754,Return Request,14-09-2022 18:03,Escalated,227,Neutral
7500243,119928,9191334,Product Quality,17-02-2023 09:16,Resolved,6,Neutral
7500244,111039,9001664,Cancellation,27-08-2023 14:23,RESOLVED,54,Neutral
7500245,120885,,Delivery Issue,21-04-2024 20:59,Resolved,25,Neutral
7500246,144518,9232196,Wrong Item,30-10-2022 18:57,Resolved,58,Negative
7500247,147975,9178463,Product Quality,25-08-2022 23:09,Open,13,Negative
7500248,136724,9130588,Delivery Issue,23-06-2026 10:00,open,6,Neutral
7500249,132726,9012253,Account Issue,01-07-2024 21:46,Escalated,16,Neutral
7500250,110485,9011746,,04-07-2022 09:40,Open,67,Negative
7500251,109194,9013217,Delivery Issue,09-07-2023 21:33,Resolved,228,Neutral
7500252,134362,,Payment Issue,22-01-2023 19:54,Open,43,Negative
7500253,137658,9037890,,16-03-2023 03:07,Escalated,16,Negative
7500254,132137,9002834,Return Request,26-04-2022 04:41,Escalated,26,Negative
7500255,102731,,Payment Issue,15-11-2023 09:00,Open,9,Neutral
7500256,113098,9111322,Return Request,24-09-2024 09:52,Open,63,Neutral
7500257,133173,9131823,Return Request,23-02-2022 20:09,Open,13,Neutral
7500258,110894,9015632,,29-08-2024 18:25,Resolved,8420,Positive
7500259,128129,9161140,,02-01-2024 22:10,Resolved,10,Neutral
7500260,127978,,Refund,03-11-2022 21:07,Resolved,121,Negative
7500261,100795,9222409,,10-09-2023 16:32,Resolved,42,Positive
7500262,112812,9157320,Refund,21-08-2024 16:29,Resolved,216,Negative
7500263,143029,,Refund,01-11-2024 11:08,Resolved,17,Negative
7500264,139250,,Refund,08-11-2023 15:07,Open,51,Neutral
7500265,145203,9100152,Account Issue,28-02-2022 17:00,Resolved,173,Positive
7500266,142781,9000806,,15-05-2024 10:28,Resolved,49,Positive
7500267,115219,9112805,Wrong Item,14-03-2022 08:13,Open,207,
7500268,111918,9092389,Cancellation,30-06-2022 08:00,Resolved,15,Negative
7500269,142671,9226274,Refund,24-07-2024 10:16,Resolved,27,Neutral
7500270,130367,9182541,Refund,31-03-2023 14:47,Open,20,Positive
7500271,121119,9126997,Cancellation,01-01-2022 22:43,Resolved,40,Negative
7500272,122178,,Account Issue,07-02-2022 11:42,Resolved,13,Neutral
7500273,132712,9093179,Product Quality,31-05-2022 12:22,RESOLVED,170,
7500274,110448,9001497,Return Request,03-12-2022 19:25,Escalated,37,Neutral
7500275,132334,9003549,Account Issue,29-12-2024 01:56,Resolved,5,Positive
7500276,149291,9208355,Delivery Issue,30-12-2024 17:01,Resolved,4,Negative
7500277,122093,9080626,Wrong Item,26-03-2022 06:22,Resolved,13,Negative
7500278,147790,9094510,Delivery Issue,18-07-2022 22:08,Resolved,104,Negative
7500279,109150,9219304,Wrong Item,01-01-2022 14:12,Resolved,-2,Negative
7500280,130629,,Account Issue,18-10-2022 09:47,Resolved,36,Negative
7500281,132343,9025484,,02-03-2022 22:40,Open,3,Neutral
7500282,124325,9163068,Product Quality,16-02-2022 20:01,Resolved,83,Positive
7500283,108545,9209870,Wrong Item,27-03-2024 22:39,Escalated,-8,Neutral
7500284,128472,9034406,Delivery Issue,24-04-2023 22:44,Resolved,221,Neutral
7500285,121261,,Cancellation,03-06-2023 18:14,Resolved,26,Positive
7500286,127734,9011239,Account Issue,24-07-2024 10:04,Resolved,23,Neutral
7500287,127401,9069489,Product Quality,10-10-2024 20:10,Resolved,66,Negative
7500288,138147,9249088,Payment Issue,29-04-2024 08:43,Resolved,5,Negative
7500289,137027,9032768,Delivery Issue,13-05-2023 19:57,Open,-6,Positive
7500290,112417,9152901,Payment Issue,06-07-2023 21:31,Open,198,Negative
7500291,113224,9076751,,03-01-2025 06:50,Resolved,137,Negative
7500292,107032,9168204,Payment Issue,13-08-2022 18:50,Resolved,23,Positive
7500293,131327,9140112,Return Request,18-08-2022 21:53,Escalated,12,Positive
7500294,146291,9122868,Delivery Issue,02-04-2024 19:12,Resolved,9,Positive
7500295,121474,9049560,Product Quality,14-08-2024 17:28,Open,5890,Positive
7500296,129718,9171636,,23-11-2023 08:24,Resolved,17,Negative
7500297,112898,9046107,Refund,20-08-2024 08:04,Resolved,6,Positive
7500298,135861,9154213,Account Issue,15-07-2022 12:10,Resolved,4545,Positive
7500299,106183,9082114,Refund,07-01-2022 10:25,Open,76,Negative
7500300,147016,,Wrong Item,30-10-2023 18:20,RESOLVED,14,Negative
7500301,135783,9208544,Cancellation,22-09-2023 11:09,Open,20,Negative
7500302,135812,9032106,Delivery Issue,29-06-2023 06:09,Resolved,16,
7500303,120014,,Wrong Item,30-04-2024 17:48,Resolved,8,
7500304,130709,9104845,Delivery Issue,21-10-2022 23:44,Resolved,39,Negative
7500305,107805,9048665,Technical Support,07-07-2022 04:19,Resolved,2,Negative
7500306,141731,9162471,Return Request,18-07-2023 18:49,Resolved,67,Negative
7500307,146336,9047105,Cancellation,27-03-2023 20:44,Open,-6,Positive
7500308,144619,9027335,Wrong Item,30-04-2022 19:57,Resolved,31,Neutral
7500309,109495,9008364,Account Issue,23-04-2022 13:44,Escalated,7,Negative
7500310,145957,9088858,Delivery Issue,01-05-2022 14:17,Resolved,8,Negative
7500311,141873,9189363,Account Issue,15-08-2022 11:27,Resolved,62,Neutral
7500312,125625,9180674,Technical Support,06-01-2025 19:24,Escalated,3,Negative
7500313,142369,9035156,Account Issue,11-01-2024 15:25,Resolved,7,Negative
7500314,129074,9244793,Product Quality,29-07-2022 11:51,Escalated,45,Neutral
7500315,133606,9031029,,06-06-2024 17:37,Open,65,Negative
7500316,126798,9169281,Return Request,27-02-2022 09:44,Resolved,83,Negative
7500317,132655,,Wrong Item,24-12-2022 20:14,Open,17,Negative
7500318,134377,9062608,Refund,23-02-2026 10:00,Open,103,Neutral
7500319,130617,9128624,Delivery Issue,09-06-2022 03:51,Open,17,Negative
7500320,112448,,Account Issue,09-03-2023 18:32,Resolved,37,Negative
7500321,114199,9105355,Technical Support,09-12-2024 16:52,Escalated,33,Negative
7500322,132647,9085359,Product Quality,07-06-2023 18:02,Open,74,Negative
7500323,101584,9088840,Wrong Item,30-01-2025 17:44,Resolved,205,Negative
7500324,110140,9022241,Technical Support,25-01-2026 10:00,Resolved,9,Positive
7500325,140638,9041318,Wrong Item,26-10-2022 20:46,Escalated,1,Negative
7500326,120200,9169586,Account Issue,22-03-2022 14:01,Resolved,53,Neutral
7500327,109525,,Return Request,19-03-2022 05:45,Resolved,35,Negative
7500328,125080,9069612,Return Request,11-08-2023 15:32,Resolved,-10,Negative
7500329,110514,9085517,Technical Support,28-10-2024 21:04,RESOLVED,125,Negative
7500330,138142,9067856,Cancellation,27-06-2023 23:27,Open,48,Positive
7500331,102434,9113037,Return Request,15-06-2023 18:56,Escalated,59,Neutral
7500332,129094,9242730,Account Issue,12-09-2024 07:19,Open,120,Neutral
7500333,105079,9180888,Product Quality,13-09-2024 17:14,Escalated,12,Negative
7500334,130780,9038660,,10-12-2024 10:25,Closed,137,
7500335,144518,9196832,Payment Issue,05-02-2025 23:04,RESOLVED,4652,Negative
7500336,137648,9162823,Technical Support,01-04-2023 16:17,Closed,25,Neutral
7500337,139581,9157784,Product Quality,10-01-2025 18:14,Resolved,22,Negative
7500338,122957,9102698,Delivery Issue,19-03-2025 10:08,Open,48,Neutral
7500339,148369,9033638,,24-05-2022 12:22,Open,89,Positive
7500340,132389,9045489,Refund,31-07-2024 15:51,Resolved,18,Negative
7500341,100756,9118732,Technical Support,03-02-2022 11:40,open,70,Negative
7500342,125610,9237804,Product Quality,21-01-2022 20:53,Open,54,Positive
7500343,103381,9166685,Payment Issue,28-09-2023 10:56,RESOLVED,35,Negative
7500344,126273,9246845,Return Request,21-02-2023 06:19,Resolved,42,Positive
7500345,101655,9167349,Refund,01-03-2024 12:43,Resolved,35,Negative
7500346,135836,9053649,Cancellation,04-07-2022 09:35,Resolved,17,Negative
7500347,144392,,Technical Support,02-01-2024 10:34,Resolved,24,Neutral
7500348,143067,9202919,Technical Support,29-10-2022 16:13,Escalated,7,Negative
7500349,139138,,Return Request,17-01-2022 09:46,Resolved,19,Negative
7500350,120258,,Account Issue,29-02-2024 06:38,Resolved,29,Positive
7500351,148291,9046641,Wrong Item,27-07-2023 08:15,Resolved,20,Negative
7500352,139138,9160920,Wrong Item,05-01-2025 09:22,Closed,127,Negative
7500353,143439,9044398,Refund,19-12-2024 21:31,RESOLVED,2,Positive
7500354,141292,9218792,Delivery Issue,19-08-2023 08:49,Resolved,14,Negative
7500355,103484,9042815,Wrong Item,22-07-2022 19:06,Resolved,212,Neutral
7500356,139620,9090524,Payment Issue,30-10-2023 10:36,Resolved,23,Neutral
7500357,112350,9109723,Cancellation,25-11-2022 04:33,Escalated,4035,Negative
7500358,142580,9151894,Return Request,03-10-2024 00:53,open,3,Negative
7500359,111458,,Account Issue,22-03-2024 22:58,Resolved,169,Negative
7500360,115047,9165335,,02-12-2022 12:06,Open,135,
7500361,115138,9023139,Refund,30-10-2023 16:54,open,66,Negative
7500362,111338,9215497,Refund,03-11-2022 09:52,Resolved,7,Negative
7500363,111211,,Product Quality,11-04-2024 13:49,Resolved,10,Negative
7500364,114949,9029720,Refund,16-09-2024 13:17,Resolved,60,Neutral
7500365,120331,9203298,Technical Support,31-03-2025 10:30,Escalated,226,
