delivery_id,order_id,warehouse_id,delivery_partner,dispatch_date,delivery_attempts,delivery_status,delay_days
6000179,9112227,121,Delhivery,13-06-2023,1,Delivered,1
6000180,9048495,143,India Post,23-10-2023,1,Delivered,0
6000181,9114844,108,Delhivery,15-12-2024,1,Returned,0
6000182,9244052,,DTDC,20-03-2023,1,Delivered,2
6000183,9057329,133,delhivery,04-11-2022,1,Delivered,0
6000184,9104585,135,XpressBees,05-12-2023,1,Failed,1
6000185,9071212,112,Shadowfax,02-01-2023,1,Delivered,0
6000186,9238366,127,Shadowfax,05-11-2022,1,Delivered,0
6000187,9079246,149,Amazon Logistics,19-10-2022,1,Failed,0
6000188,9212026,118,XpressBees,04-04-2023,1,Failed,7
6000189,9133340,129,Xpressbees,24-09-2024,1,Failed,1
6000190,9071008,150,Delhivery,23-09-2022,1,Delivered,1
6000191,9112329,135,XpressBees,20-04-2023,1,In Transit,2
6000192,9038101,104,Ekart,18-11-2024,1,Delivered,0
6000193,9043758,121,Delhivery,23-03-2025,1,Out for Delivery,2
6000194,9235530,106,Delhivery,04-07-2024,1,Delivered,0
6000195,9052809,136,BlueDart,27-01-2023,1,Delivered,0
6000196,9106994,140,India Post,17-01-2024,1,Out for Delivery,0
6000197,9020372,109,Shadowfax,10-06-2022,2,Delivered,1
6000198,9086246,135,delhivery,21-10-2022,2,In Transit,1
6000199,9244382,145,Delhivery,27-02-2023,1,Delivered,0
6000200,9078480,146,XpressBees,24-09-2022,1,Delivered,1
6000201,9146225,122,India Post,03-08-2024,1,Delivered,2
6000202,9228442,128,BlueDart,23-04-2023,2,Returned,0
6000203,9039406,139,DTDC,16-07-2024,20,In Transit,0
6000204,9069272,103,DTDC,06-03-2024,1,Out for Delivery,1
6000205,9121636,112,BlueDart,21-08-2023,1,Delivered,0
6000206,9175034,137,India Post,24-05-2024,1,In Transit,0
6000207,9165212,119,XpressBees,07-10-2023,2,Delivered,0
6000208,9183524,148,Blue Dart,14-08-2024,2,Delivered,0
6000209,9236404,110,Amazon Logistics,03-11-2024,1,In Transit,0
6000210,9047101,141,Ekart,28-04-2024,1,Delivered,0
6000211,9032590,123,FedEx India,30-09-2024,2,Delivered,2
6000212,9188970,112,Shadowfax,16-09-2022,1,Delivered,0
6000213,9079349,134,Blue Dart,28-03-2023,1,Delivered,1
6000214,9104491,141,Delhivery,28-08-2023,1,Delivered,1
6000215,9021563,145,Amazon Logistics,09-03-2023,2,Delivered,0
6000216,9204552,112,XpressBees,05-11-2022,2,Failed,3
6000217,9176140,144,India Post,19-10-2024,2,Failed,1
6000218,9134863,105,FedEx India,06-02-2022,1,Delivered,2
6000219,9034078,125,India Post,12-01-2022,1,Delivered,0
6000220,9249781,138,Ekart,11-06-2022,3,Delivered,0
6000221,9083902,147,XpressBees,09-08-2022,1,Returned,3
6000222,9123488,119,FedEx India,27-03-2023,20,Delivered,2
6000223,9034741,101,India Post,04-12-2024,1,Delivered,2
6000224,9179981,114,BlueDart,22-08-2023,1,Delivered,3
6000225,9014421,114,XpressBees,25-09-2022,1,Delivered,0
6000226,9163071,124,Ekart,28-09-2024,3,Delivered,1
6000227,9115306,129,BlueDart,23-07-2022,2,Failed,3
6000228,9095068,130,Shadowfax,25-09-2024,2,In Transit,9
6000229,9164338,142,Shadowfax,29-09-2024,2,Delivered,0
6000230,9047933,,XpressBees,31-10-2022,1,Failed,2
6000231,9129136,108,Amazon Logistics,23-10-2023,20,In Transit,0
6000232,9048978,142,Delhivery,13-06-2023,2,Failed,0
6000233,9116080,121,BlueDart,16-01-2023,1,Delivered,0
6000234,9079046,110,Amazon Logistics,02-03-2022,1,In Transit,1
6000235,9083110,128,Ekart,01-02-2022,1,Delivered,1
6000236,9145765,135,Delhivery,13-11-2022,1,Failed,7
6000237,9010327,142,BlueDart,19-07-2023,1,Failed,0
6000238,9089505,124,Delhivery,01-01-2023,3,Delivered,8
6000239,9086514,117,India Post,27-01-2023,3,Delivered,3
6000240,9243526,105,BlueDart,23-01-2024,1,Delivered,0
6000241,9064787,128,Shadowfax,20-10-2024,1,Delivered,1
6000242,9220121,128,BlueDart,13-06-2022,2,Delivered,0
6000243,9110991,119,Delhivery,24-01-2022,1,Delivered,1
6000244,9178365,121,Ekart,04-06-2022,1,Delivered,3
6000245,9069703,101,DTDC,04-08-2023,1,Out for Delivery,0
6000246,9182641,147,DTDC,07-06-2022,1,In Transit,2
6000247,9177981,120,XpressBees,05-09-2024,1,Delivered,0
6000248,9133145,131,XpressBees,30-10-2023,1,Delivered,0
6000249,9155560,128,BlueDart,25-09-2024,2,Delivered,0
6000250,9049617,135,Delhivery,17-07-2024,1,Failed,3
6000251,9053974,104,Shadowfax,25-03-2024,1,Delivered,0
6000252,9018971,142,BlueDart,03-12-2023,1,Delivered,0
6000253,9194709,113,FedEx India,08-11-2023,3,Failed,2
6000254,9050298,122,BlueDart,06-02-2024,1,Failed,0
6000255,9148505,123,BlueDart,22-04-2024,2,Delivered,2
6000256,9197828,111,XpressBees,14-05-2023,1,Delivered,0
6000257,9047244,125,EKART,06-03-2024,1,Delivered,1
6000258,9148268,141,India Post,01-05-2022,2,Delivered,1
6000259,9131570,121,DTDC,25-06-2023,3,Delivered,1
6000260,9027609,117,Ekart,26-07-2023,1,Delivered,0
6000261,9163602,109,India Post,26-02-2023,1,Delivered,1
6000262,9090159,110,Shadowfax,28-03-2023,20,Failed,1
6000263,9026173,139,Blue Dart,26-06-2024,1,Delivered,2
6000264,9234687,147,Delhivery,04-09-2023,1,Failed,0
6000265,9095941,127,XpressBees,25-03-2023,1,Delivered,1
6000266,9018879,147,Shadowfax,24-10-2022,2,Failed,0
6000267,9240804,132,FedEx India,30-07-2022,3,Out for Delivery,0
6000268,9112953,120,Ekart,03-11-2023,1,Delivered,0
6000269,9008112,112,DTDC,03-06-2024,3,Returned,0
6000270,9047156,103,delhivery,08-04-2024,1,Returned,2
6000271,9194090,121,DTDC,26-10-2022,1,Delivered,2
6000272,9109139,109,India Post,23-10-2022,1,In Transit,1
6000273,9033469,103,India Post,21-05-2023,1,Failed,0
6000274,9111058,106,Delhivery,28-06-2024,1,Failed,0
6000275,9167210,128,Delhivery,03-08-2023,1,Returned,12
6000276,9148416,129,XpressBees,05-11-2023,1,Delivered,0
6000277,9026420,120,Ekart,15-06-2022,1,Out for Delivery,0
6000278,9145460,133,DTDC,11-06-2024,1,Delivered,0
6000279,9244569,124,Shadowfax,17-08-2023,1,Delivered,3
6000280,9181476,146,FedEx India,30-11-2022,1,Delivered,2
6000281,9024508,118,Ekart,26-10-2023,1,Delivered,-1
6000282,9153395,146,India Post,06-12-2024,1,Returned,2
6000283,9239404,101,Xpressbees,25-09-2023,1,Delivered,0
6000284,9105088,145,Ekart,02-12-2023,1,Delivered,3
6000285,9126509,131,BlueDart,21-08-2024,1,Failed,0
6000286,9167655,122,DTDC,08-11-2023,1,Delivered,0
6000287,9246808,106,Blue Dart,15-04-2022,1,Delivered,1
6000288,9003094,111,India Post,02-07-2022,1,Delivered,0
6000289,9226938,141,Delhivery,31-03-2025,1,Delivered,3
6000290,9004511,110,India Post,25-09-2024,1,Delivered,12
6000291,9227417,116,Amazon Logistics,15-02-2024,1,Failed,2
6000292,9065942,144,FedEx India,28-10-2024,2,Returned,0
6000293,9141053,146,FedEx India,13-01-2022,1,Delivered,0
6000294,9105684,139,Amazon Logistics,22-10-2023,1,Failed,1
6000295,9169781,135,Blue Dart,11-01-2023,1,Delivered,2
6000296,9084109,117,BlueDart,22-05-2024,1,In Transit,-1
6000297,9145338,123,Blue Dart,09-09-2024,3,Delivered,0
6000298,9129118,121,XpressBees,15-12-2023,1,Delivered,0
6000299,9035956,110,Blue Dart,19-04-2022,2,Failed,3
6000300,9025707,144,Delhivery,23-07-2024,1,Failed,0
6000301,9132667,136,Amazon Logistics,14-02-2023,20,Delivered,8
6000302,9151365,127,DTDC,26-12-2022,1,In Transit,1
6000303,9223392,123,Ekart,07-09-2022,2,Delivered,0
6000304,9127149,143,India Post,28-03-2022,2,Delivered,1
6000305,9091621,142,delhivery,25-07-2024,1,Delivered,0
6000306,9244886,150,Delhivery,04-10-2024,1,Delivered,0
6000307,9092850,128,EKART,01-08-2022,2,Delivered,2
6000308,9017006,149,Amazon Logistics,08-11-2024,1,Delivered,0
6000309,9230263,132,Amazon Logistics,08-01-2024,1,Delivered,0
6000310,9047507,114,Delhivery,17-10-2023,1,delivered,0
6000311,9014947,112,Ekart,09-03-2022,1,In Transit,0
6000312,9098210,148,Ekart,15-04-2024,1,Returned,1
6000313,9036815,146,Amazon Logistics,31-12-2023,2,Delivered,2
6000314,9159594,128,India Post,03-09-2024,1,Out for Delivery,0
6000315,9002476,127,XpressBees,09-10-2024,1,Delivered,3
6000316,9038635,120,Delhivery,12-03-2023,1,FAILED,0
6000317,9029170,134,Ekart,27-07-2023,2,Delivered,7
6000318,9173510,106,XpressBees,21-07-2023,1,Delivered,1
6000319,9084473,110,BlueDart,26-07-2024,1,Delivered,1
6000320,9178044,,Blue Dart,23-01-2022,1,Delivered,2
6000321,9117780,123,Ekart,11-02-2022,1,Failed,0
6000322,9240775,116,BlueDart,27-08-2024,1,Delivered,3
6000323,9194985,126,XpressBees,27-10-2023,1,Failed,7
6000324,9028509,116,Ekart,25-10-2023,1,Delivered,3
6000325,9094051,146,XpressBees,09-01-2024,3,Returned,0
6000326,9233604,122,Delhivery,26-09-2022,2,Delivered,4
6000327,9135141,142,Delhivery,24-03-2022,2,Delivered,0
6000328,9100744,138,Ekart,09-03-2023,1,Delivered,2
6000329,9020236,137,XpressBees,09-11-2024,1,Returned,0
6000330,9085834,134,XpressBees,19-04-2022,2,Delivered,0
6000331,9011482,,DTDC,06-02-2022,1,Returned,2
6000332,9021587,113,Shadowfax,18-05-2024,1,Delivered,0
6000333,9018665,121,DTDC,24-04-2024,1,Delivered,1
6000334,9008911,108,FedEx India,09-03-2022,1,Delivered,0
6000335,9060378,121,BlueDart,21-10-2023,1,Delivered,0
6000336,9091068,133,Delhivery,07-04-2022,2,Delivered,9
6000337,9230836,114,Ekart,30-12-2024,3,Delivered,0
6000338,9144443,133,XpressBees,24-03-2023,1,In Transit,1
6000339,9014185,140,DTDC,21-10-2023,1,Delivered,0
6000340,9124670,112,BlueDart,28-04-2022,2,Returned,0
6000341,9193210,141,Ekart,06-06-2023,1,Returned,1
6000342,378,141,Shadowfax,03-06-2023,1,Delivered,0
6000343,9166565,146,Delhivery,28-02-2025,3,Delivered,0
6000344,9093717,109,Amazon Logistics,21-01-2022,1,Delivered,-1
6000345,9021925,145,Shadowfax,05-01-2022,1,Out for Delivery,1
6000346,9058234,142,Ekart,11-01-2025,1,Delivered,0
6000347,9185369,120,Xpressbees,22-09-2024,1,Failed,1
6000348,9009602,135,Ekart,19-10-2023,1,Delivered,0
6000349,9158560,122,DTDC,14-01-2022,1,Delivered,3
6000350,9016645,104,BlueDart,26-11-2024,3,Delivered,3
6000351,9025983,126,DTDC,02-03-2022,2,Returned,-2
6000352,9055514,140,Delhivery,10-11-2024,2,Failed,0
6000353,9127842,135,BlueDart,22-06-2023,1,Delivered,3
6000354,9036580,106,BlueDart,01-06-2023,1,Delivered,0
6000355,9148358,134,India Post,15-12-2023,1,Returned,-1
6000356,9218126,114,delhivery,09-12-2024,1,Delivered,0
6000357,9001054,120,Amazon Logistics,02-01-2024,1,Delivered,3
6000358,9157052,148,BlueDart,17-04-2023,2,Delivered,2
6000359,9148780,141,India Post,15-12-2022,1,Delivered,1
6000360,9197201,140,Ekart,28-12-2023,1,Delivered,1
6000361,9003086,108,Ekart,27-10-2023,1,Returned,10
6000362,9000096,111,Delhivery,19-09-2022,1,Delivered,1
6000363,9193011,126,Ekart,21-10-2023,3,Delivered,3
6000364,9051578,109,Amazon Logistics,19-03-2023,1,In Transit,6
6000365,9192563,141,Ekart,23-01-2024,1,Delivered,0
6000366,9155028,137,Delhivery,26-03-2025,1,Delivered,4
6000367,9066560,120,BlueDart,20-02-2025,2,Delivered,8
6000368,9022423,123,BlueDart,25-03-2025,1,Delivered,0
6000369,9051512,132,EKART,27-08-2023,1,Failed,0
6000370,9139810,,Xpressbees,17-11-2022,1,Delivered,1
6000371,9186286,120,India Post,18-01-2024,1,In Transit,2
6000372,9051870,126,FedEx India,23-12-2022,1,Delivered,-1
6000373,9150571,114,Ekart,12-02-2022,1,Delivered,0
6000374,9106943,113,BlueDart,24-05-2023,1,Delivered,4
6000375,9235796,127,XpressBees,06-09-2024,1,Delivered,0
6000376,9203855,107,XpressBees,26-02-2024,1,Delivered,3
6000377,9086279,150,BlueDart,05-03-2022,1,Failed,0
6000378,9012528,108,BlueDart,23-10-2023,1,Delivered,0
6000379,9161396,143,Shadowfax,07-11-2024,2,Delivered,9
6000380,9183815,111,India Post,23-09-2023,1,delivered,1
6000381,9122099,101,BlueDart,22-02-2025,1,Delivered,9
6000382,9233588,134,FedEx India,29-10-2024,1,Returned,3
6000383,9037513,147,DTDC,07-03-2022,1,Delivered,-1
6000384,9191507,148,Amazon Logistics,16-11-2023,1,Delivered,0
6000385,9076388,140,India Post,16-10-2024,1,Delivered,1
6000386,9148121,133,Delhivery,22-10-2024,2,In Transit,1
6000387,9151013,127,Shadowfax,20-11-2022,2,Delivered,1
6000388,9038100,139,XpressBees,20-10-2024,1,Out for Delivery,2
6000389,9231643,102,XpressBees,24-11-2022,3,In Transit,0
6000390,9216619,138,Shadowfax,16-08-2024,1,Delivered,0
6000391,9065792,118,Ekart,06-12-2022,1,Delivered,-3
6000392,9214839,137,Blue Dart,15-07-2023,1,Returned,1
6000393,9190628,142,BlueDart,18-02-2023,1,Delivered,0
6000394,9167827,120,Delhivery,07-01-2023,1,Failed,1
6000395,9153702,104,Delhivery,21-09-2022,2,Delivered,3
6000396,9089468,104,BlueDart,20-12-2023,1,Failed,2
6000397,9147280,124,BlueDart,04-11-2023,1,Returned,1
6000398,9069248,102,Ekart,01-09-2024,1,Delivered,2
6000399,9110283,114,FedEx India,18-12-2024,1,Failed,1
6000400,9214859,148,FedEx India,17-08-2023,1,Delivered,0
6000401,9087803,125,Delhivery,19-10-2022,1,Returned,0
6000402,9080069,111,XpressBees,06-01-2025,1,Delivered,0
6000403,9032809,125,Xpressbees,23-09-2024,1,Delivered,0
6000404,9064026,107,BlueDart,03-07-2022,1,Failed,3
6000405,9203858,119,BlueDart,26-03-2022,1,Failed,2
6000406,9236722,132,Ekart,25-03-2022,1,Delivered,1
6000407,9133255,120,India Post,10-11-2024,1,Delivered,3
6000408,9078408,108,Delhivery,28-02-2023,2,Delivered,0
6000409,9167075,139,XpressBees,07-03-2022,3,Delivered,1
6000410,9083915,124,Ekart,10-01-2024,1,Failed,1
6000411,9140617,104,Blue Dart,30-10-2023,1,Delivered,0
6000412,9083759,133,Ekart,31-12-2024,2,Delivered,1
6000413,9135883,118,EKART,20-10-2022,2,Delivered,2
6000414,9051378,141,XpressBees,14-08-2023,1,Failed,3
6000415,9103750,148,XpressBees,05-11-2024,1,Delivered,3
6000416,9170371,147,FedEx India,21-10-2023,1,Failed,2
6000417,9181848,116,DTDC,24-07-2022,1,Out for Delivery,0
6000418,9145240,123,XpressBees,09-12-2022,1,Failed,2
6000419,9161150,137,BlueDart,21-03-2024,2,Delivered,11
6000420,9092825,112,BlueDart,10-01-2024,15,Delivered,12
6000421,9093316,124,India Post,26-05-2023,1,Delivered,3
6000422,9135762,110,Delhivery,20-10-2022,1,Returned,0
6000423,9063301,123,FedEx India,22-04-2022,1,In Transit,0
6000424,9044004,121,Shadowfax,01-08-2024,1,Delivered,1
6000425,9099066,105,Ekart,28-11-2023,1,Delivered,9
6000426,9138118,135,India Post,07-06-2023,1,Delivered,0
6000427,9056846,126,delhivery,05-06-2022,1,Delivered,8
6000428,9054442,136,delhivery,20-08-2024,2,Out for Delivery,0
6000429,9023090,118,BlueDart,27-10-2022,1,Delivered,3
6000430,9195281,137,Shadowfax,13-10-2024,1,Delivered,0
6000431,9226186,104,BlueDart,04-05-2023,1,Delivered,1
6000432,9150332,110,India Post,21-03-2023,1,Delivered,0
6000433,9175327,107,BlueDart,22-02-2023,3,Delivered,0
6000434,9205883,115,Ekart,29-03-2023,1,Delivered,3
6000435,9166718,143,Amazon Logistics,11-08-2024,1,Delivered,1
6000436,9203153,105,BlueDart,14-01-2025,1,Failed,0
6000437,9124436,132,Delhivery,04-11-2023,1,Failed,0
6000438,9040218,142,Shadowfax,02-10-2022,1,Delivered,0
6000439,9134992,134,Amazon Logistics,28-02-2023,1,Delivered,3
