refund_id,return_id,refund_amount,refund_status,refund_method,refund_processed_date,refund_reason_code
8500159,8011401,1703.5,Processed,Wallet,06-03-2024,NOT_AS_DESCRIBED
8500160,8026274,187.61,Rejected,UPI,03-04-2022,CHANGED_MIND
8500161,8003057,4618.34,Processed,Original Payment,18-11-2024,WRONG_ITEM
8500162,8023130,1091.36,Processed,Wallet,26-03-2023,NOT_AS_DESCRIBED
8500163,8044712,798.22,Processed,Wallet,09-12-2022,MISSING_PARTS
8500164,8044550,515.5,Processed,UPI,28-12-2022,NOT_AS_DESCRIBED
8500165,8022307,514.42,Processed,Bank Transfer,20-03-2022,CHANGED_MIND
8500166,8005650,67462.21,processed,Original Payment,06-01-2024,
8500167,8023016,360.03,Processed,Original Payment,20-03-2023,QUALITY_ISSUE
8500168,8004374,6779.75,Pending,Original Payment,24-12-2024,DAMAGED_PRODUCT
8500169,8028113,607.64,Pending,Original Payment,31-01-2025,WRONG_ITEM
8500170,8014219,783.43,Rejected,Coupon,13-12-2022,CHANGED_MIND
8500171,8019395,981.33,Processed,Wallet,13-01-2024,MISSING_PARTS
8500172,8034917,1093.5,Processed,Wallet,11-05-2023,SIZE_ISSUE
8500173,8002103,5364.55,Pending,Cash,30-06-2024,MISSING_PARTS
8500174,8002418,306.51,Processed,Bank Transfer,29-10-2022,DUPLICATE_ORDER
8500175,8032047,2499.07,Processed,Original Payment,06-11-2024,CHANGED_MIND
8500176,8009187,3779.48,Processed,Wallet,08-03-2024,WRONG_ITEM
8500177,8011246,7587.53,Processed,Wallet,07-09-2022,DEFECTIVE
8500178,8030951,629.58,Processed,Wallet,04-08-2024,MISSING_PARTS
8500179,8011786,477.76,Processed,UPI,21-01-2025,SIZE_ISSUE
8500180,8042235,26825.47,Processed,Original Payment,03-01-2025,MISSING_PARTS
8500181,8002349,39112.13,Rejected,Original Payment,03-04-2025,DUPLICATE_ORDER
8500182,8024866,4274.41,Processed,Original Payment,21-06-2022,DAMAGED_PRODUCT
8500183,8009739,106469.13,Processed,Original Payment,22-01-2023,SIZE_ISSUE
8500184,8019686,1464.99,Processed,Wallet,04-11-2022,QUALITY_ISSUE
8500185,8007540,3421.93,Processed,UPI,27-01-2024,WRONG_ITEM
8500186,8023561,3778.12,Processed,Original Payment,05-02-2024,MISSING_PARTS
8500187,8023515,1698.72,Processed,UPI,08-07-2023,SIZE_ISSUE
8500188,8001851,5098.64,Processed,Bank Transfer,23-01-2023,SIZE_ISSUE
8500189,8039123,32461.06,Processed,Wallet,29-03-2023,DUPLICATE_ORDER
8500190,8032500,6343.27,Rejected,Wallet,08-04-2024,WRONG_ITEM
8500191,8010240,954.82,Rejected,Original Payment,09-12-2023,QUALITY_ISSUE
8500192,8027203,3234.52,Processed,Original Payment,30-11-2023,DUPLICATE_ORDER
8500193,8024396,1568.34,Processed,Wallet,18-08-2022,MISSING_PARTS
8500194,8004036,610.7,Processed,Original Payment,04-04-2022,MISSING_PARTS
8500195,8043522,1181.24,Processed,Coupon,09-12-2023,CHANGED_MIND
8500196,8030214,328.42,Processed,Original Payment,01-10-2022,DEFECTIVE
8500197,8024245,1152.18,Processed,Wallet,10-06-2024,DEFECTIVE
8500198,8001743,1252.04,Processed,Original Payment,07-11-2023,QUALITY_ISSUE
8500199,8010163,694.76,Pending,Original Payment,05-07-2024,SIZE_ISSUE
8500200,8004593,981.46,Pending,Wallet,01-09-2024,DUPLICATE_ORDER
8500201,8008689,4354.51,Processed,Original Payment,08-05-2022,SIZE_ISSUE
8500202,8009357,6698.59,Processed,UPI,02-03-2022,NOT_AS_DESCRIBED
8500203,8027690,14963.64,Processed,Coupon,26-11-2023,DEFECTIVE
8500204,8025445,18671.45,Rejected,UPI,02-08-2022,DUPLICATE_ORDER
8500205,8044720,34107.98,Processed,Original Payment,08-11-2022,SIZE_ISSUE
8500206,8001059,563.46,Processed,Wallet,21-10-2022,DUPLICATE_ORDER
8500207,8036348,1598.11,Pending,Original Payment,05-07-2023,DAMAGED_PRODUCT
8500208,8007511,846.02,Processed,Wallet,22-05-2023,WRONG_ITEM
8500209,8012402,233.95,Processed,Wallet,26-10-2023,DEFECTIVE
8500210,8038462,4371.08,Processed,UPI,17-04-2022,WRONG_ITEM
8500211,8024759,6874.07,Processed,Wallet,12-02-2022,SIZE_ISSUE
8500212,8002041,3363.44,Rejected,Wallet,26-01-2024,
8500213,8002985,75065.08,Processed,Original Payment,26-12-2023,
8500214,8008701,6511.01,Pending,Original Payment,31-08-2023,QUALITY_ISSUE
8500215,8017023,1683.11,Processed,Original Payment,28-10-2022,DEFECTIVE
8500216,8036417,14979.63,Rejected,Coupon,23-02-2025,DEFECTIVE
8500217,8013287,197.37,Processed,Wallet,14-03-2024,NOT_AS_DESCRIBED
8500218,8012084,140.22,Rejected,Original Payment,13-11-2022,DUPLICATE_ORDER
8500219,8027254,2866,Processed,Original Payment,09-05-2026,NOT_AS_DESCRIBED
8500220,8041922,13880.03,Rejected,Bank Transfer,05-11-2022,DEFECTIVE
8500221,8024043,755.53,PENDING,Original Payment,21-09-2024,DUPLICATE_ORDER
8500222,8018750,1859.6,Processed,Original Payment,04-03-2023,NOT_AS_DESCRIBED
8500223,8006025,779.47,Processed,Wallet,03-06-2022,DEFECTIVE
8500224,8044389,6484.87,Processed,Original Payment,23-03-2023,MISSING_PARTS
8500225,8018478,1076.31,Processed,Coupon,06-07-2022,NOT_AS_DESCRIBED
8500226,8008135,34881.13,Processed,Coupon,28-04-2023,NOT_AS_DESCRIBED
8500227,8025756,51530.28,Pending,Coupon,01-08-2024,SIZE_ISSUE
8500228,8029569,606.98,Processed,Wallet,02-07-2022,MISSING_PARTS
8500229,8012603,7877.96,Processed,UPI,30-06-2022,
8500230,8017509,1938.93,Processed,Wallet,17-10-2022,NOT_AS_DESCRIBED
8500231,8040567,4594.88,Pending,Original Payment,25-10-2022,QUALITY_ISSUE
8500232,8034437,4796.67,Processed,UPI,28-10-2024,QUALITY_ISSUE
8500233,8039839,24190.81,Rejected,Original Payment,08-10-2022,DAMAGED_PRODUCT
8500234,8024588,797.67,Pending,Wallet,30-10-2022,NOT_AS_DESCRIBED
8500235,8001624,1169.01,Processed,Original Payment,15-09-2024,NOT_AS_DESCRIBED
8500236,8036991,574.56,Processed,Coupon,06-10-2024,MISSING_PARTS
8500237,8022545,519.03,Processed,Wallet,17-11-2024,DAMAGED_PRODUCT
8500238,8013669,1353.42,Processed,Wallet,08-12-2022,DUPLICATE_ORDER
8500239,8022752,1108.95,Processed,Original Payment,07-04-2023,SIZE_ISSUE
8500240,8015782,28060.93,Pending,Original Payment,09-05-2022,WRONG_ITEM
8500241,8031647,243.48,Rejected,Original Payment,20-05-2023,CHANGED_MIND
8500242,8029813,240.71,Rejected,Original Payment,09-07-2023,NOT_AS_DESCRIBED
8500243,8016532,3428.44,Pending,Coupon,09-07-2024,QUALITY_ISSUE
8500244,8029845,1733.87,Processed,UPI,26-07-2023,MISSING_PARTS
8500245,8009605,16021.73,Processed,Wallet,01-12-2023,SIZE_ISSUE
8500246,8006044,79939.3,Rejected,Original Payment,20-08-2024,DUPLICATE_ORDER
8500247,8024439,18415.17,Processed,Wallet,24-04-2024,QUALITY_ISSUE
8500248,8039779,1223.36,Processed,Original Payment,13-12-2024,MISSING_PARTS
8500249,8043671,653.31,Processed,Coupon,20-01-2025,QUALITY_ISSUE
8500250,8016769,1947.38,Pending,Wallet,06-01-2023,NOT_AS_DESCRIBED
8500251,8013355,1362.58,Processed,Wallet,30-05-2023,QUALITY_ISSUE
8500252,8014849,1479.29,Pending,UPI,15-10-2024,QUALITY_ISSUE
8500253,8018792,4148.76,Pending,Original Payment,20-03-2024,DAMAGED_PRODUCT
8500254,8004688,1205.25,Pending,Original Payment,20-01-2025,DEFECTIVE
8500255,8028161,2037.69,Processed,UPI,30-04-2024,
8500256,8005965,670.91,Processed,Bank Transfer,07-12-2023,
8500257,8034970,3727.67,Rejected,Coupon,13-11-2024,QUALITY_ISSUE
8500258,8041570,8182.46,Processed,Original Payment,22-08-2024,SIZE_ISSUE
8500259,8017529,229.18,Processed,Original Payment,18-11-2022,DUPLICATE_ORDER
8500260,8018824,568.68,Pending,Original Payment,01-02-2022,CHANGED_MIND
8500261,8021566,12759.55,Processed,Wallet,01-06-2024,NOT_AS_DESCRIBED
8500262,8041601,98601.73,Rejected,Coupon,22-04-2024,QUALITY_ISSUE
8500263,8029685,2221.81,Processed,Wallet,14-11-2023,DEFECTIVE
8500264,8033561,1176.98,Processed,Coupon,23-10-2022,DEFECTIVE
8500265,8034132,1555.94,Rejected,Original Payment,17-11-2023,CHANGED_MIND
8500266,8008901,526.83,Rejected,Wallet,14-05-2024,CHANGED_MIND
8500267,8024997,9327.27,PENDING,Original Payment,15-05-2024,DUPLICATE_ORDER
8500268,8008413,2236.58,Processed,Original Payment,23-07-2024,QUALITY_ISSUE
8500269,8026591,963.98,Processed,Original Payment,28-11-2022,CHANGED_MIND
8500270,8020990,734.49,Processed,UPI,14-02-2023,MISSING_PARTS
8500271,8006452,1192.91,Processed,Original Payment,02-11-2022,WRONG_ITEM
8500272,8030551,160.67,Processed,Original Payment,03-04-2024,WRONG_ITEM
8500273,8013597,7866.4,Processed,Wallet,08-09-2023,MISSING_PARTS
8500274,8009686,1136.35,Pending,Wallet,14-08-2023,NOT_AS_DESCRIBED
8500275,8016782,516.23,Processed,Original Payment,10-01-2024,WRONG_ITEM
8500276,8019377,9421.66,Pending,Original Payment,31-08-2023,DUPLICATE_ORDER
8500277,8013761,834.51,Rejected,UPI,30-04-2023,
8500278,8034751,1210494.22,Rejected,Original Payment,30-10-2023,DEFECTIVE
8500279,8027583,38570.74,Processed,Wallet,05-12-2023,MISSING_PARTS
8500280,8040048,1416.68,Processed,Original Payment,13-12-2023,QUALITY_ISSUE
8500281,8012777,884.14,Processed,UPI,18-08-2024,DAMAGED_PRODUCT
8500282,8001525,378.26,Pending,Wallet,18-01-2024,MISSING_PARTS
8500283,8043434,1479.3,Processed,Coupon,27-03-2024,DAMAGED_PRODUCT
8500284,8017223,236.43,Processed,Original Payment,05-08-2024,CHANGED_MIND
8500285,8014007,23919,Rejected,UPI,02-02-2025,QUALITY_ISSUE
8500286,8013893,359.69,Pending,Original Payment,10-01-2023,DAMAGED_PRODUCT
8500287,8000765,46696.07,Processed,Bank Transfer,21-07-2022,SIZE_ISSUE
8500288,8035193,7446.95,Rejected,Original Payment,27-10-2024,CHANGED_MIND
8500289,8044649,22772.5,Processed,Coupon,18-07-2022,
8500290,8037114,6606.07,Processed,Coupon,05-03-2025,DAMAGED_PRODUCT
8500291,8019804,1225.78,Processed,Original Payment,05-02-2025,NOT_AS_DESCRIBED
8500292,8017761,102684.73,Processed,Wallet,05-04-2025,QUALITY_ISSUE
8500293,8003270,45567.17,Processed,Coupon,29-07-2023,QUALITY_ISSUE
8500294,8035371,14660.54,Processed,Original Payment,13-10-2022,WRONG_ITEM
8500295,8004816,9647.39,Processed,Original Payment,11-06-2023,NOT_AS_DESCRIBED
8500296,8025386,352.19,Processed,Coupon,17-06-2022,WRONG_ITEM
8500297,8014132,692.69,Processed,Original Payment,03-10-2024,QUALITY_ISSUE
8500298,8025936,4804.63,Processed,Cash,01-02-2024,
8500299,8037460,1383.17,Processed,UPI,12-12-2022,NOT_AS_DESCRIBED
8500300,8019353,116.01,Processed,UPI,21-11-2024,QUALITY_ISSUE
8500301,8009034,15515.79,Processed,Original Payment,07-04-2025,QUALITY_ISSUE
8500302,8014148,292.98,Processed,Original Payment,24-11-2024,MISSING_PARTS
8500303,8025797,525.49,Pending,Coupon,04-11-2022,DEFECTIVE
8500304,8023332,387.27,Processed,Wallet,23-12-2023,SIZE_ISSUE
8500305,8012206,1334.41,Processed,Original Payment,18-08-2023,NOT_AS_DESCRIBED
8500306,8002391,994.74,Pending,Original Payment,10-12-2022,DUPLICATE_ORDER
8500307,8024425,4215.82,Processed,Wallet,05-09-2024,MISSING_PARTS
8500308,8010787,1827.54,Rejected,Coupon,06-02-2024,DAMAGED_PRODUCT
8500309,8033321,962.29,Processed,Original Payment,08-09-2024,NOT_AS_DESCRIBED
8500310,8012902,1016.35,Rejected,Wallet,31-01-2022,WRONG_ITEM
8500311,8038483,7089.75,Pending,Coupon,09-12-2022,WRONG_ITEM
8500312,8003459,4104.94,Processed,Wallet,14-01-2025,DAMAGED_PRODUCT
8500313,8013573,1491.93,Pending,Original Payment,17-06-2022,CHANGED_MIND
8500314,8013673,339.19,Processed,Original Payment,19-04-2025,MISSING_PARTS
8500315,8024370,987.49,Processed,Original Payment,21-10-2024,CHANGED_MIND
8500316,8028297,211940.38,Pending,UPI,17-11-2024,
8500317,8037234,10728.26,Rejected,UPI,22-10-2022,NOT_AS_DESCRIBED
8500318,8033114,1783.23,Processed,UPI,02-02-2025,DUPLICATE_ORDER
8500319,8017871,7475.89,Pending,Original Payment,02-03-2025,DAMAGED_PRODUCT
8500320,8003323,63089.36,Processed,Coupon,27-01-2023,MISSING_PARTS
8500321,8041096,103077.68,Processed,Wallet,15-05-2022,DUPLICATE_ORDER
8500322,8038351,1372.17,Processed,Coupon,05-09-2023,
8500323,8012523,253.85,Processed,Wallet,15-10-2023,CHANGED_MIND
8500324,8025004,1429.32,Processed,Wallet,17-03-2025,DAMAGED_PRODUCT
8500325,8027884,1068.81,Processed,Bank Transfer,13-10-2022,DUPLICATE_ORDER
8500326,8005267,1025.87,Processed,Wallet,03-03-2025,NOT_AS_DESCRIBED
8500327,8028553,14348.66,Pending,Coupon,05-02-2022,DAMAGED_PRODUCT
8500328,8006841,1714.28,processed,Original Payment,02-04-2022,SIZE_ISSUE
8500329,8034886,1910.46,Processed,UPI,22-01-2025,DEFECTIVE
8500330,8031606,2653.29,Processed,Original Payment,21-05-2024,
8500331,8019489,219.98,Rejected,Wallet,17-04-2025,SIZE_ISSUE
8500332,8017859,56733.79,Rejected,Coupon,26-01-2023,DUPLICATE_ORDER
8500333,8036407,674.47,Pending,Wallet,03-06-2022,CHANGED_MIND
8500334,8017905,2871.76,Processed,Original Payment,05-01-2024,NOT_AS_DESCRIBED
8500335,8031273,30225.99,Pending,Original Payment,14-11-2023,CHANGED_MIND
8500336,8024800,310.4,Pending,Wallet,25-11-2022,MISSING_PARTS
8500337,8037887,2049.21,Rejected,Original Payment,29-01-2024,DEFECTIVE
8500338,8012912,28496.27,Pending,Bank Transfer,21-07-2023,CHANGED_MIND
8500339,8013302,1839.85,Pending,Coupon,05-09-2022,DUPLICATE_ORDER
8500340,8033984,1358.22,Rejected,Wallet,23-06-2024,DUPLICATE_ORDER
8500341,8018804,13760.13,Processed,Original Payment,16-04-2022,NOT_AS_DESCRIBED
8500342,8044557,984.68,Rejected,Original Payment,26-11-2023,NOT_AS_DESCRIBED
8500343,8012042,1933.2,Rejected,Wallet,07-03-2025,NOT_AS_DESCRIBED
8500344,8026723,52692.78,Processed,Bank Transfer,29-01-2022,MISSING_PARTS
8500345,8033495,1486.27,Processed,Wallet,19-07-2023,CHANGED_MIND
8500346,8033774,939.57,PENDING,Bank Transfer,31-08-2022,DAMAGED_PRODUCT
8500347,8016670,53051.92,Rejected,Wallet,26-10-2022,SIZE_ISSUE
8500348,8039528,512.9,Processed,Wallet,01-02-2024,NOT_AS_DESCRIBED
8500349,8029150,5712.67,Processed,Original Payment,23-09-2023,SIZE_ISSUE
