seller_id,seller_name,seller_city,seller_rating,seller_type,onboarding_date,return_rate_percent,seller_status
7031,Flash Emporium,Delhi,3.59,BUSINESS,20-08-2022,8,Inactive
7032,Mega Bazaar,Lucknow,3.5,Individual,29-06-2020,7.79,Active
7033,Flash Electronics,Chennai,2.64,Business,17-10-2022,16.96,Active
7034,Best Emporium,Visakhapatnam,4.93,Individual,20-11-2020,1.29,Active
7035,Prime Emporium,Ahmedabad,3.75,Business,13-07-2021,11.13,Active
7036,Star Deals,Kolkata,4.7,Individual,05-06-2024,8.14,Active
7037,Alpha Zone,Indore,5,Individual,08-01-2023,7.98,Active
7038,Mega Hub,Noida,3.08,Individual,05-03-2024,20.18,Blocked
7039,Star Outlet,Delhi,3.98,individual,20-06-2022,20.12,Active
7040,Star Traders,Lucknow,4.23,Brand,11-10-2024,12.21,Active
7041,Bright Shoppe,Pune,4.21,Individual,04-07-2020,3.07,Inactive
7042,Zen Store,,3.31,Business,01-06-2022,12.15,Inactive
7043,Royal Store,Indore,4.21,Business,20-04-2021,6.33,Active
7044,Zen Zone,Delhi,4.86,Business,18-05-2022,10.59,Invalid_Status
7045,Bright Enterprises,Kolkata,3.24,Individual,26-08-2024,6.76,Suspended
7046,Beta Plaza,Indore,3.22,Business,22-12-2021,4.99,Suspended
7047,Star Enterprises,Ahmedabad,4.47,Business,26-09-2020,7.2,Active
7048,Star Shoppe,Bangalore,4.78,Individual,15-08-2024,21.32,Inactive
7049,Prime Emporium,Delhi,3.06,Brand,24-03-2022,17.9,Inactive
7050,Alpha World,Visakhapatnam,4.37,Business,31-07-2023,3.28,Active
7051,Peak Retail,Noida,4.09,Brand,22-08-2023,3.94,Active
7052,Bright Enterprises,Thiruvananthapuram,3.47,BUSINESS,27-11-2023,9.8,Active
7053,Apex Enterprises,Kolkata,4.88,Business,27-06-2022,5.96,Blocked
7054,Super Shoppe,Ahmedabad,3.5,Individual,02-10-2024,2.93,Active
7055,Alpha Fashion,Noida,4.47,Brand,09-02-2023,5.53,Active
7056,Alpha Electronics,Delhi,4.5,individual,26-09-2020,17.59,Active
7057,Royal World,Jaipur,2.78,Business,11-01-2022,3.29,active
7058,Beta Depot,Ahmedabad,2.65,Business,06-11-2023,15.96,Inactive
7059,Mega Plaza,Delhi,4.08,Business,08-05-2023,10.53,Active
7060,Prime Shoppe,Noida,4.72,Brand,27-03-2022,3,Active
7061,Super Mart,Visakhapatnam,4.58,Individual,22-02-2024,3.73,active
7062,Peak Retail,Hyderabad,4.16,individual,16-01-2024,7.04,Active
7063,Flash Hub,Visakhapatnam,2.77,Business,10-04-2024,5.75,Active
7064,Sun Plaza,,4.82,Individual,04-01-2021,17.01,Active
7065,Royal Mart,Hyderabad,4.35,Individual,22-12-2022,9.82,Active
7066,Mega Gallery,Thiruvananthapuram,2.89,Brand,11-07-2021,9.9,Active
7067,Smart Depot,Hyderabad,4.2,Business,23-09-2021,9.3,Active
7068,Best Hub,Gurugram,6.15,Individual,17-02-2022,5.83,Active
7069,Super Traders,Jaipur,2.55,individual,25-03-2023,9.49,Active
7070,Nova Electronics,Delhi,4.05,individual,29-06-2020,3.22,Active
7071,Galaxy Deals,Jaipur,3.33,Business,21-08-2020,5.07,Active
7072,Star Point,Lucknow,4.01,Business,28-12-2020,14.19,Active
7073,Sky Emporium,Thiruvananthapuram,4.09,individual,08-07-2023,10.24,Active
7074,Quick Gallery,Chennai,3.65,Business,10-08-2021,19.15,Active
7075,Flash Deals,Chennai,4.35,individual,16-03-2023,7.75,Active
7076,Beta Emporium,Thiruvananthapuram,4.96,Business,21-03-2020,10.19,Active
7077,Royal Commerce,Lucknow,4.44,Individual,16-07-2023,2.38,Active
7078,Best World,Ahmedabad,4.01,Individual,21-09-2023,8.35,Suspended
7079,Nova Mart,Pune,3.44,Brand,04-10-2023,20.89,Inactive
7080,Galaxy Bazaar,Mumbai,2.95,BUSINESS,22-09-2022,22,Active
7081,Prime Depot,Indore,3.82,individual,19-06-2023,8.91,Inactive
7082,Sun Store,Mumbai,4.19,Business,06-08-2021,17.46,Active
7083,Bright Hub,Kolkata,3.65,Business,16-12-2022,4.4,Active
7084,Quick Fashion,Indore,4.84,Business,12-09-2020,17.03,Inactive
7085,Star Bazaar,Thiruvananthapuram,3.63,Individual,19-04-2020,8.85,Active
7086,Easy Electronics,Pune,4.12,Individual,10-08-2021,10.92,Suspended
7087,Bright Emporium,Thiruvananthapuram,3.14,Business,29-01-2024,9.89,Active
7088,Prime Fashion,Ahmedabad,3.64,individual,07-05-2023,14.27,Suspended
7089,Prime Traders,Noida,2.97,Business,08-01-2022,12.05,Blocked
7090,Peak Electronics,Visakhapatnam,3.47,Brand,01-01-2022,8.24,Active
7091,Sky Retail,Bangalore,4.53,Brand,09-08-2022,11.05,Active
7092,Zen Fashion,Mumbai,4.71,Business,26-03-2022,12.4,Suspended
7093,Smart Zone,Gurugram,4.14,Brand,13-06-2022,16.61,Active
7094,Royal Outlet,Bangalore,3.8,Brand,10-06-2020,21.9,Active
7095,Prime Traders,Lucknow,4.01,Brand,20-12-2021,16.26,Active
7096,Apex World,Gurugram,2.69,Business,28-06-2024,4.36,Inactive
7097,Zen Fashion,Noida,3.42,Business,24-05-2023,10.45,Active
7098,Galaxy Gallery,Bangalore,4.12,Individual,15-02-2024,11.87,Active
7099,Quick Emporium,Kolkata,4.79,Individual,12-10-2024,4.63,Invalid_Status
7100,Mega Commerce,Chennai,4.73,Brand,14-03-2025,4.66,Active
7101,Smart Mart,,3.89,Brand,03-02-2023,19.57,Active
7102,Bright Depot,Hyderabad,2.68,Business,10-07-2022,11.86,Inactive
7103,Peak Gallery,Delhi,4.78,Individual,09-11-2020,4.4,Active
7104,Flash Zone,Lucknow,4.89,Business,12-06-2023,11.55,active
7105,Star Store,Jaipur,3.34,Individual,04-11-2024,1.95,Active
7106,Smart Gallery,Ahmedabad,4.72,Business,10-09-2021,17.9,Active
7107,Galaxy Fashion,Hyderabad,3.01,Business,11-01-2024,21.75,Active
7108,Super Depot,Bangalore,2.81,Individual,13-04-2020,9.07,Active
7109,Royal Retail,Jaipur,4.41,Business,18-10-2022,11.44,Active
7110,Zen Point,Bangalore,3.2,Brand,09-10-2023,12.27,Active
7111,Quick Commerce,Bangalore,2.63,Business,14-08-2021,11.59,Active
7112,Sun Plaza,Pune,4.49,BUSINESS,26-03-2024,13.65,Active
7113,Beta Mart,Gurugram,3.64,Business,02-11-2021,7.69,Active
7114,Best Gallery,Indore,3.72,Business,04-02-2020,15.15,Active
7115,Alpha Plaza,Ahmedabad,4.44,Brand,10-04-2023,12.01,Suspended
7116,Nova Mart,Noida,4.87,Individual,04-10-2021,9.67,Active
7117,Sun Outlet,Jaipur,4.26,Business,18-09-2023,8.91,Active
7118,Peak Retail,Ahmedabad,4.3,Brand,03-06-2023,21.1,Active
7119,Best Zone,Jaipur,3.29,BUSINESS,16-06-2024,7.04,Active
7120,Nova Commerce,Gurugram,2.61,Individual,07-03-2025,6.39,Active
7121,Peak World,Jaipur,2.77,Individual,13-04-2020,12.15,Active
7122,Apex Retail,Pune,2.84,BRAND,19-11-2020,20.64,Active
7123,Smart Zone,Ahmedabad,4.42,Individual,21-02-2024,20.67,Active
7124,Royal Fashion,Hyderabad,2.97,individual,15-08-2021,1.19,Active
7125,Mega Zone,Ahmedabad,3.73,Brand,16-08-2022,17.99,Suspended
7126,Prime Traders,Gurugram,4.19,Business,01-08-2023,18.37,Active
7127,Prime Store,Visakhapatnam,3.12,Individual,23-03-2024,7.92,Active
7128,Quick Commerce,Mumbai,3.66,Brand,05-03-2025,15.77,Active
7129,Best Commerce,Noida,3.7,BRAND,04-02-2022,12.53,Active
7130,Smart Point,Kolkata,2.7,Brand,08-06-2020,3.36,Inactive
7131,Smart Gallery,Delhi,3.8,Individual,09-04-2023,19.88,Active
7132,Star Depot,Kolkata,3.66,Brand,21-03-2022,1.06,Active
7133,Apex Commerce,Chennai,4.84,BUSINESS,05-03-2020,4.78,Active
7134,Apex Commerce,Hyderabad,4.79,Individual,17-09-2023,3.79,Active
7135,Peak Deals,Jaipur,4.59,BRAND,06-08-2022,12.43,Inactive
7136,Easy Emporium,Lucknow,4.69,Individual,14-09-2023,17.09,Active
7137,Smart Traders,Mumbai,4.18,Individual,31-03-2020,5.92,Inactive
7138,Beta Mart,Lucknow,4.79,Business,01-05-2024,7.73,Active
7139,Flash Point,Lucknow,4.87,individual,06-07-2023,12.67,Active
7140,Nova Depot,Hyderabad,3.25,Business,08-05-2021,7.32,Inactive
7141,Beta Shoppe,Hyderabad,2.84,Individual,17-08-2023,10.45,Active
7142,Smart Fashion,Ahmedabad,2.6,Brand,18-04-2023,12.74,Inactive
7143,Mega Zone,Mumbai,2.98,Brand,24-03-2024,6.09,Active
7144,Easy Shoppe,Lucknow,3.83,Individual,16-11-2022,10.79,Suspended
7145,Mega Hub,Hyderabad,4.66,Individual,07-02-2023,13.16,Active
7146,Mega Point,Indore,3.88,Business,12-04-2024,21.3,Active
7147,Royal Commerce,Jaipur,2.96,BRAND,30-04-2020,18.62,Inactive
7148,Beta Electronics,Indore,2.67,Individual,22-07-2022,13.97,Active
7149,Star Electronics,Chennai,2.54,Business,10-08-2021,18.08,Inactive
7150,Royal Enterprises,Chennai,2.98,Brand,01-07-2021,2.66,Active
7151,Easy Point,Indore,4.13,Brand,10-07-2020,8.92,Active
7152,Royal Traders,Hyderabad,3.33,BRAND,06-01-2025,1.89,Inactive
7153,Sky Outlet,Thiruvananthapuram,4.81,Business,08-03-2020,18.86,Active
7154,Star Deals,Lucknow,3.1,Business,10-01-2025,9.06,Inactive
7155,Galaxy Depot,Bangalore,3.59,Business,23-04-2024,13.51,Active
7156,Quick Emporium,Bangalore,3.44,Business,17-02-2022,13.99,Suspended
7157,Galaxy World,Jaipur,2.89,Business,10-02-2026,10.34,Active
7158,Galaxy Store,Chennai,3.52,Business,09-07-2020,17.47,Active
7159,Apex Deals,Jaipur,4.76,Business,13-12-2020,4.56,Active
7160,Star Traders,Lucknow,3.71,Individual,20-05-2021,11.41,Active
7161,Prime Traders,Bangalore,3.45,Business,31-05-2022,19.05,Active
7162,Mega Plaza,Noida,2.94,Business,14-02-2024,11.31,Active
7163,Nova World,Hyderabad,4.83,BRAND,03-01-2021,12.55,Active
7164,Smart Emporium,Indore,4.55,Business,19-10-2022,7.36,Active
7165,Apex Deals,Kolkata,3.5,BUSINESS,17-11-2023,1.77,Suspended
7166,Peak Plaza,Pune,3.12,Individual,08-06-2023,21.66,Active
7167,Mega Bazaar,Pune,3.78,Business,24-03-2023,8.86,Active
7168,Flash Mart,Mumbai,3.24,Individual,29-08-2024,3.98,Active
7169,Smart Depot,Visakhapatnam,4.3,Individual,01-04-2020,3.42,Active
7170,Royal Point,Chennai,3.9,Individual,09-04-2022,4.91,Active
7171,Sun Hub,Hyderabad,4.26,Brand,14-07-2024,13.12,Active
7172,Super Retail,Pune,4.66,Business,07-05-2023,9.24,Active
7173,Zen Plaza,Ahmedabad,3.24,Individual,01-10-2020,6.01,Active
7174,Star Depot,Kolkata,3.46,Business,21-11-2023,20.54,Active
7175,Best Mart,Indore,2.63,Individual,06-10-2020,9.06,Active
7176,Apex Outlet,Indore,2.92,Brand,27-03-2021,6.77,Active
7177,Zen Gallery,Gurugram,3.78,Individual,17-01-2023,8.7,Active
7178,Zen Shoppe,Hyderabad,4.58,Business,07-03-2020,8.32,Active
7179,Prime Point,Jaipur,3.38,Business,05-12-2020,17.48,Inactive
7180,Sky Commerce,Kolkata,3.31,Business,01-07-2021,11.8,Inactive
7181,Star Bazaar,Lucknow,2.82,Individual,27-12-2023,6.2,Active
7182,Star Gallery,Ahmedabad,3.63,individual,09-07-2020,16.75,Inactive
7183,Zen Outlet,Mumbai,4.62,BRAND,24-07-2023,8.52,Active
7184,Smart Bazaar,Visakhapatnam,4.57,Business,05-03-2023,17.55,Suspended
7185,Beta Enterprises,Indore,2.81,Business,02-01-2020,9.98,Inactive
7186,Best Store,Thiruvananthapuram,4.14,Business,24-01-2025,2.09,Suspended
7187,Easy Bazaar,Jaipur,3.03,Business,29-11-2022,1.2,Inactive
7188,Apex Mart,Noida,4.33,Business,09-12-2024,9.04,Inactive
7189,Star Traders,Mumbai,2.91,Individual,12-03-2024,9.65,Inactive
7190,Galaxy Enterprises,Pune,3.46,Business,13-10-2020,14.54,Active
7191,Sun Zone,,4.62,Individual,27-05-2023,16.7,Active
7192,Easy Outlet,Noida,3.98,BRAND,09-01-2022,3.77,Active
7193,Super Shoppe,Gurugram,4.97,Business,29-01-2020,1.84,Inactive
7194,Flash Zone,Chennai,3.56,Business,06-01-2023,6.83,Active
7195,Smart Mart,Hyderabad,4.41,Business,27-09-2021,16.33,Active
7196,Galaxy Bazaar,Kolkata,3.27,Brand,01-09-2020,3.88,Active
7197,Super Depot,Indore,2.92,Brand,04-07-2021,3.48,Active
7198,Apex World,Lucknow,3.94,Business,07-01-2022,19.05,Active
7199,Prime Gallery,Pune,3.77,individual,15-05-2021,8.64,Active
7200,Beta Shoppe,Jaipur,3.55,Business,15-01-2024,18.35,Active
7201,Beta Store,Chennai,4.89,Business,01-08-2021,7.52,Active
7202,Super Hub,Gurugram,4.06,Business,07-10-2022,17.29,Active
7203,Prime Traders,Mumbai,3.37,individual,21-04-2026,18.83,Active
7204,Flash Point,Mumbai,2.86,Individual,19-04-2021,11.91,Active
7205,Galaxy Gallery,Delhi,3.49,Individual,18-09-2023,5.97,Active
7206,Nova Retail,Lucknow,4.86,Brand,11-08-2020,4.45,Active
7207,Peak Commerce,Noida,3.66,Individual,11-07-2024,18.35,Active
7208,Mega Mart,Noida,3.49,Business,06-08-2024,1.65,Active
7209,Peak Point,Pune,2.85,Brand,31-03-2021,18.3,Active
7210,Galaxy Gallery,Thiruvananthapuram,2.55,individual,27-06-2022,2.93,Inactive
7211,Prime Fashion,Mumbai,3.93,Business,01-03-2020,9.96,Inactive
7212,Quick World,Delhi,4.05,Business,23-04-2022,11.06,Active
7213,Apex Hub,Gurugram,4.08,Brand,22-02-2022,8.54,Active
7214,Sky Depot,Lucknow,3.3,individual,13-05-2024,17.98,Active
7215,Sky Point,Pune,3.1,Brand,18-02-2024,21.92,Inactive
7216,Nova Commerce,Indore,3.09,Brand,04-01-2022,1.59,active
7217,Sky Mart,Noida,4.53,Business,25-12-2020,2.9,Active
7218,Star Electronics,Noida,3.35,Brand,13-11-2024,1.46,Inactive
7219,Prime Depot,Pune,4.85,Individual,10-09-2021,21.49,Active
7220,Bright Retail,Chennai,4.82,Individual,21-04-2023,8.95,Active
7221,Royal Electronics,Kolkata,4.99,Individual,18-05-2023,17.98,Active
7222,Prime Outlet,Jaipur,3.37,Business,30-06-2020,15.07,Active
7223,Alpha World,Jaipur,3.14,Individual,01-03-2022,9.81,Active
7224,Nova Commerce,Pune,4.47,Brand,06-04-2021,2.55,Active
7225,Mega World,Pune,4.72,Individual,13-01-2025,8.1,Inactive
7226,Alpha Bazaar,Delhi,3.59,Business,24-01-2021,12.64,Active
7227,Best Zone,Mumbai,3.87,Individual,08-01-2020,7.19,Active
7228,Smart Enterprises,Delhi,4.94,Individual,26-05-2024,11.27,Active
7229,Peak Deals,Thiruvananthapuram,2.97,Business,23-06-2021,6.64,Suspended
7230,Prime Traders,Gurugram,4.93,Business,17-09-2024,11.97,Suspended
7231,Bright Gallery,Visakhapatnam,3.49,Individual,15-03-2023,17.81,Active
7232,Prime Emporium,Delhi,4.52,Business,31-10-2023,21.94,Inactive
7233,Quick Retail,Thiruvananthapuram,2.72,Business,20-10-2024,10.62,Inactive
7234,Sun Gallery,Hyderabad,2.87,Business,24-07-2020,12.82,Active
7235,Peak Commerce,Lucknow,3.71,Individual,18-07-2021,13.98,Active
7236,Nova Retail,Mumbai,4.8,Individual,01-08-2024,7.53,Inactive
7237,Prime Point,Jaipur,4.56,Business,15-08-2023,10.28,Active
7238,Bright Depot,Indore,4.48,Brand,06-04-2022,18.88,Active
7239,Smart Hub,Noida,2.63,Individual,24-01-2022,11.61,Active
7240,Alpha Point,Kolkata,4.9,Business,06-12-2021,19.78,Suspended
7241,Best Electronics,Delhi,4.45,Individual,06-04-2021,6.65,Active
7242,Alpha Outlet,Ahmedabad,4.5,Business,17-09-2021,15.9,Inactive
7243,Super Emporium,Visakhapatnam,3.8,Business,16-01-2020,14.91,Active
7244,Sun Plaza,Ahmedabad,2.66,Business,30-10-2024,14.78,Active
7245,Smart Mart,Noida,4.51,Business,14-09-2023,3.94,Active
7246,Best World,Hyderabad,2.59,Business,23-01-2021,15.98,Active
7247,Bright Commerce,Indore,4.14,Business,22-08-2022,6.43,Suspended
7248,Royal Retail,Noida,4.36,Brand,09-11-2021,13.3,Active
7249,Beta Gallery,Kolkata,4.72,individual,20-02-2022,9.68,Active
7250,Smart Retail,Kolkata,4.97,individual,04-01-2021,11.24,Active
7251,Beta Electronics,Noida,2.92,Business,12-04-2024,3.72,Active
7252,Apex Outlet,Mumbai,4.33,individual,30-03-2024,5,Active
7253,Easy Point,Bangalore,2.76,Business,13-05-2020,7.26,Suspended
7254,Sun Depot,Thiruvananthapuram,2.83,Business,16-03-2024,20.91,Active
7255,Easy Point,Delhi,2.55,Individual,27-12-2023,1.78,Active
7256,Peak Plaza,Mumbai,4.13,Brand,03-05-2022,3.6,Suspended
7257,Smart Electronics,Ahmedabad,3.8,Brand,07-05-2022,3.2,Active
7258,Prime Enterprises,Kolkata,3.16,Individual,11-12-2023,4.37,Inactive
7259,Bright Retail,Mumbai,4.77,Brand,01-11-2020,17.37,Suspended
7260,Quick Point,Lucknow,2.63,individual,11-10-2024,17.83,Suspended
7261,Alpha Electronics,Ahmedabad,3.32,BUSINESS,03-07-2021,2.95,Active
7262,Nova Deals,Lucknow,4.22,Business,19-12-2024,3.37,Active
7263,Royal Enterprises,Kolkata,3.92,Business,14-05-2024,1.61,Inactive
7264,Star Outlet,Pune,3.6,Business,26-01-2020,15.24,Active
7265,Sky Point,Ahmedabad,3.8,Business,05-06-2022,6.22,Active
7266,Nova Mart,Chennai,4.03,BUSINESS,01-11-2022,18.89,Active
7267,Bright Retail,Lucknow,3.06,Business,26-04-2021,10.33,Active
7268,Bright Emporium,Visakhapatnam,2.54,Individual,03-07-2025,17.63,Active
7269,Flash Shoppe,Ahmedabad,3.35,Brand,25-09-2024,12.76,Active
7270,Super Emporium,Gurugram,2.51,Business,26-06-2024,11.96,Active
7271,Royal Outlet,Jaipur,3.52,Individual,04-09-2020,9.25,Inactive
7272,Mega Enterprises,Mumbai,4.59,Brand,11-07-2022,13.38,SUSPENDED
7273,Alpha Depot,Chennai,4.6,Business,01-03-2025,15.53,Inactive
7274,Prime Deals,Kolkata,3.76,BRAND,18-02-2025,6.21,Active
7275,Best Emporium,Delhi,4.25,Business,07-12-2023,7.59,Active
7276,Smart Hub,Jaipur,3.36,BRAND,24-08-2023,4.73,Active
7277,Prime Commerce,Kolkata,4.17,Brand,19-09-2024,19.43,Active
7278,Prime Electronics,Mumbai,3,Individual,09-08-2021,4.07,Inactive
7279,Smart Shoppe,Indore,4.04,Business,04-04-2021,12.79,Inactive
7280,Best Fashion,Hyderabad,4.47,BUSINESS,20-04-2020,6.28,Inactive
7281,Zen Point,Jaipur,3.42,Brand,06-02-2021,21.25,Active
7282,Galaxy Store,Jaipur,3.44,Business,23-09-2020,172.62,active
7283,Beta Mart,Kolkata,4.83,Brand,01-10-2022,12.55,Suspended
7284,Flash Point,Chennai,3.76,Business,07-07-2020,19.55,Active
7285,Best Hub,Kolkata,4.99,BRAND,19-01-2020,8.27,Active
7286,Sun Point,Ahmedabad,3.45,Individual,09-06-2021,6.94,Inactive
7287,Super Depot,Visakhapatnam,3.24,Business,17-06-2020,4.52,Active
7288,Alpha Traders,Ahmedabad,4.66,Individual,06-01-2023,19.45,Active
7289,Galaxy Mart,Jaipur,2.72,Brand,16-02-2023,18.25,Active
7290,Zen Deals,Mumbai,6.11,Individual,07-03-2024,15.72,Inactive
7291,Prime Zone,Lucknow,3.2,Business,10-08-2024,10.95,Active
7292,Nova Shoppe,Ahmedabad,4.19,Brand,02-02-2024,21.11,Inactive
7293,Star Enterprises,Kolkata,3.84,Business,12-03-2024,16.24,Inactive
7294,Flash Mart,Noida,3.13,Brand,07-03-2023,18.88,Invalid_Status
7295,Zen Shoppe,Ahmedabad,2.75,Business,08-11-2021,15.1,Active
7296,Galaxy Hub,Visakhapatnam,4.15,Individual,06-03-2023,7.64,Active
7297,Easy Point,Ahmedabad,4.6,Brand,02-12-2024,10.35,Active
7298,Prime Store,Pune,4.65,Business,23-06-2021,14.16,Inactive
7299,Flash Electronics,Kolkata,3.98,Business,18-01-2023,12.33,Active
7300,Nova Point,Kolkata,3.23,Business,23-03-2022,1.22,SUSPENDED
7301,Sun Store,Delhi,2.95,Business,26-10-2020,11.15,Active
7302,Bright Point,Bangalore,4.17,Brand,05-03-2022,10.55,Blocked
7303,Mega Enterprises,Chennai,3.18,Business,13-03-2023,14.73,Active
7304,Galaxy Depot,Thiruvananthapuram,3.51,Business,11-06-2024,13.69,Active
7305,Royal Point,Ahmedabad,2.88,Business,31-07-2024,5.84,Suspended
7306,Bright Outlet,Kolkata,4.58,Individual,20-03-2023,3.83,Inactive
7307,Star Fashion,Thiruvananthapuram,4.9,Business,08-02-2020,16.29,active
7308,Smart Emporium,Visakhapatnam,2.93,Business,15-06-2024,17.12,Active
7309,Royal Retail,Kolkata,3.07,Individual,18-02-2021,20.1,Inactive
7310,Sun Enterprises,Thiruvananthapuram,2.6,Business,28-08-2020,14.85,Active
7311,Alpha Bazaar,Bangalore,4.24,BUSINESS,14-09-2022,9.01,Suspended
7312,Sky Enterprises,Lucknow,3.08,Business,30-11-2024,212.83,Active
7313,Flash Enterprises,Hyderabad,4.22,Business,12-11-2020,13.29,Active
7314,Sky Commerce,Ahmedabad,3.01,Business,01-01-2021,12.65,Active
7315,Super Deals,Indore,2.8,Brand,27-11-2020,11.68,Inactive
7316,Sun Fashion,,2.73,BUSINESS,10-06-2022,6.52,Active
7317,Nova Deals,Chennai,4.91,Brand,24-12-2020,10.22,Active
7318,Flash Zone,Gurugram,3.79,Individual,14-03-2020,14.76,Active
7319,Quick Deals,Hyderabad,3,Brand,25-02-2025,6.97,Inactive
7320,Super Commerce,Lucknow,4.91,Business,10-01-2020,9.55,Active
7321,Best Retail,Gurugram,3.14,Brand,27-05-2021,21.29,Suspended
7322,Mega Emporium,Thiruvananthapuram,2.57,Individual,21-07-2023,5.63,Inactive
7323,Apex Commerce,Mumbai,3.16,Business,13-03-2024,2.6,Active
7324,Super Hub,Lucknow,4.37,Individual,18-02-2024,16.44,Active
7325,Smart Point,Bangalore,2.77,Brand,20-09-2023,1.14,active
7326,Bright Commerce,Visakhapatnam,4.7,Individual,09-01-2021,20.24,Active
7327,Sky Mart,Gurugram,4.85,Business,28-10-2024,4.67,Suspended
7328,Zen Retail,Mumbai,3.45,Business,31-10-2024,12.52,Active
7329,Sun Retail,Visakhapatnam,3.55,Business,31-03-2022,4.78,Active
7330,Easy Enterprises,Gurugram,3.58,Individual,21-02-2024,17.92,Active
7331,Flash Shoppe,Gurugram,3.13,Individual,21-07-2020,2.26,Active
7332,Prime Emporium,Lucknow,3.9,Individual,10-02-2020,8.37,Active
7333,Sky Gallery,Chennai,4.45,Brand,25-09-2022,10.39,Active
7334,Zen Mart,Ahmedabad,3.34,Business,04-10-2024,2.66,Active
7335,Best World,Hyderabad,3.61,Business,17-04-2023,10.46,Inactive
7336,Star Point,Jaipur,2.7,Individual,10-05-2020,10.94,Suspended
7337,Flash Traders,Kolkata,4.14,Business,21-05-2021,10.31,Active
7338,Royal Electronics,Bangalore,3.31,BRAND,12-01-2023,12.52,active
7339,Peak Store,Visakhapatnam,4.09,Business,02-08-2023,20.09,Active
7340,Galaxy Emporium,Hyderabad,6.24,Brand,05-12-2021,12.24,Active
7341,Prime Traders,Gurugram,5.62,Business,22-02-2023,6.25,Active
7342,Nova Point,Hyderabad,3.79,Business,22-11-2023,6.98,Inactive
7343,Apex Hub,Delhi,2.78,Business,05-12-2023,4.94,Active
7344,Peak Electronics,Pune,2.81,Individual,03-07-2020,11.37,Active
7345,Bright Commerce,Gurugram,2.7,Individual,29-06-2021,2.5,Active
7346,Quick Deals,Pune,4.29,BRAND,21-05-2021,1.7,Suspended
7347,Flash Hub,Ahmedabad,4.84,Brand,05-03-2024,11.94,Active
7348,Smart Commerce,Indore,4.93,Business,31-01-2020,6.8,Inactive
7349,Alpha Fashion,Jaipur,3.99,Individual,18-11-2020,15.4,SUSPENDED
7350,Beta Fashion,Delhi,4.48,Individual,17-02-2023,16.89,Active
7351,Smart Electronics,Bangalore,3.13,Brand,18-02-2023,15.64,Active
7352,Super Retail,Lucknow,4,Individual,23-12-2022,7.21,Active
7353,Alpha Depot,Delhi,4.05,Business,18-10-2021,14.82,Active
7354,Flash Outlet,Delhi,3.31,Individual,07-12-2022,1.92,Active
7355,Beta Hub,Noida,3.93,Business,12-12-2022,13.4,Active
7356,Galaxy Electronics,Noida,4.82,Business,01-08-2023,12.72,Active
7357,Super Fashion,Lucknow,4.34,Individual,18-03-2021,3.04,Active
7358,Smart Hub,Noida,4.87,Business,08-03-2024,14.41,Active
