return_id,order_id,customer_id,return_reason,return_request_date,return_status,return_pickup_status,is_suspicious_return
8000025,9070179,106214.0,duplicate order,2022-11-08 15:36:00,Pending,Picked,0
8000027,9162019,106691.0,duplicate order,2023-01-15 01:15:00,Rejected,Picked,0
8000028,9009580,109132.0,defective product,2022-05-02 20:49:00,Approved,Picked,0
8000029,9136882,126522.0,changed mind,2023-05-25 14:56:00,Approved,Picked,0
8000030,9094102,101809.0,packaging damaged,2022-11-16 21:39:00,Approved,Picked,0
8000031,9059537,100910.0,missing parts,2023-01-19 09:52:00,Pending,Picked,0
8000032,9138348,133004.0,product not working,2022-04-25 07:46:00,Approved,Failed,0
8000033,9067167,122073.0,product not working,2024-12-10 06:17:00,Rejected,Not Picked,0
8000034,9038967,149016.0,damaged product,2022-06-16 03:39:00,Approved,Picked,0
8000035,9098769,146708.0,defective product,2022-11-21 23:56:00,Approved,Picked,0
8000036,9024307,123398.0,damaged product,2022-11-19 05:19:00,Rejected,Failed,0
8000037,9209558,130273.0,quality issue,2022-10-17 08:21:00,Approved,Picked,0
8000038,9219699,116427.0,better price elsewhere,2024-10-11 02:59:00,Rejected,Picked,0
8000039,9158225,106871.0,not as described,2025-01-26 04:43:00,Approved,Not Picked,0
8000040,9222268,112544.0,damaged product,2023-11-30 18:54:00,Rejected,Picked,0
8000041,9242282,111918.0,damaged product,2022-11-10 22:15:00,Rejected,Failed,0
8000042,9081162,107827.0,product not working,2022-07-23 07:53:00,Rejected,Picked,0
8000043,9225664,144295.0,not as described,2022-11-03 04:58:00,Approved,Picked,0
8000044,9095267,142453.0,packaging damaged,2024-01-27 01:16:00,Approved,Picked,0
8000045,9158457,139603.0,packaging damaged,2023-12-07 07:09:00,Pending,Picked,0
8000046,9007301,146690.0,defective product,2024-03-05 19:06:00,Rejected,Picked,0
8000047,9184724,121792.0,size issue,2024-09-13 05:42:00,Approved,Picked,0
8000048,9050263,123952.0,better price elsewhere,2024-01-18 04:55:00,Approved,Failed,0
8000049,9103096,145659.0,changed mind,2022-07-25 06:07:00,Approved,Picked,0
8000050,9164682,126812.0,missing parts,2022-07-03 20:58:00,Approved,Picked,0
8000051,9216172,125828.0,duplicate order,2023-06-29 13:02:00,Pending,Failed,0
8000052,9203299,107122.0,changed mind,2024-11-11 22:23:00,Approved,Picked,0
8000053,9172514,106419.0,wrong item delivered,2024-03-10 07:12:00,Approved,Picked,0
8000054,9078993,112330.0,packaging damaged,2023-02-27 10:01:00,Rejected,Picked,0
8000055,9126344,103934.0,wrong item delivered,2022-11-20 08:35:00,Rejected,Picked,0
8000056,9056818,103999.0,packaging damaged,2024-01-19 02:46:00,Approved,Picked,0
8000057,9028532,141262.0,packaging damaged,2023-11-28 08:20:00,Approved,Picked,0
8000058,9060902,145854.0,damaged product,2022-06-15 03:43:00,Pending,Picked,0
8000059,9157993,137774.0,missing parts,2022-04-12 05:08:00,Rejected,Picked,0
8000060,9094895,109113.0,color mismatch,2024-09-08 17:28:00,Rejected,Picked,0
8000061,9126091,104969.0,changed mind,2023-03-27 00:23:00,Rejected,Picked,0
8000062,9108978,141641.0,defective product,2022-03-20 14:29:00,Approved,Picked,0
8000064,9094036,119937.0,packaging damaged,2023-04-20 20:40:00,Rejected,Picked,0
8000065,9035585,126762.0,size issue,2023-08-17 07:16:00,Rejected,Not Picked,0
8000066,9182305,147465.0,changed mind,2023-08-18 23:26:00,Pending,Picked,0
8000067,9190412,103891.0,damaged product,2024-05-30 13:08:00,Pending,Picked,0
8000068,9176458,135313.0,size issue,2023-12-27 10:00:00,Approved,Failed,0
8000069,9004102,116813.0,wrong item delivered,2024-02-15 04:32:00,Approved,Picked,0
8000070,9148482,131499.0,size issue,2022-11-23 13:24:00,Approved,Picked,0
8000071,9219758,147117.0,color mismatch,2023-11-09 03:42:00,Pending,Not Picked,0
8000072,9165202,114717.0,damaged product,2024-10-27 23:33:00,Rejected,Picked,0
8000073,9105244,107440.0,defective product,2022-02-28 00:30:00,Rejected,Not Picked,0
8000074,9228477,140997.0,quality issue,2024-02-13 09:51:00,Approved,Picked,0
8000075,9057827,100200.0,color mismatch,2023-05-02 07:10:00,Pending,Picked,0
8000076,9216557,112304.0,not as described,2024-05-18 02:07:00,Approved,Not Picked,0
8000077,9240636,137513.0,wrong item delivered,2023-03-05 09:54:00,Approved,Picked,0
8000078,9130318,140238.0,product not working,2024-04-23 00:23:00,Approved,Not Picked,0
8000079,9237189,102090.0,duplicate order,2024-12-24 20:51:00,Pending,Not Picked,0
8000080,9166523,136035.0,changed mind,2023-01-06 07:13:00,Approved,Picked,0
8000081,9211564,138956.0,size issue,2023-06-13 12:01:00,Approved,Not Picked,0
8000082,9090587,149717.0,product not working,2022-09-07 01:32:00,Pending,Picked,0
8000083,9066926,127743.0,missing parts,2024-09-20 11:46:00,Rejected,Picked,0
8000084,9161767,109683.0,missing parts,2023-03-25 17:12:00,Approved,Not Picked,0
8000085,9150935,139754.0,duplicate order,2024-07-04 09:06:00,Approved,Failed,0
8000086,9040649,108582.0,defective product,2023-10-01 15:05:00,Pending,Picked,0
8000087,9016281,123898.0,wrong item delivered,2025-01-12 23:50:00,Approved,Picked,0
8000088,9117360,119026.0,changed mind,2022-06-22 15:19:00,Rejected,Picked,0
8000089,9138531,102843.0,changed mind,2023-01-09 20:33:00,Approved,Not Picked,0
8000090,9203559,142644.0,defective product,2022-07-18 14:03:00,Rejected,Not Picked,0
8000091,9069529,101844.0,damaged product,2022-11-22 09:21:00,Pending,Picked,0
8000092,9034758,137238.0,changed mind,2023-11-16 18:27:00,Approved,Failed,0
8000093,9242872,124985.0,defective product,2022-08-14 17:40:00,Approved,Not Picked,0
8000095,9176584,117497.0,color mismatch,2023-07-12 22:47:00,Rejected,Picked,0
8000096,9161169,139542.0,missing parts,2024-10-01 05:31:00,Rejected,Picked,0
8000097,9059005,139094.0,packaging damaged,2023-05-30 16:26:00,Approved,Picked,0
8000098,9168076,146827.0,size issue,2023-12-01 08:02:00,Approved,Picked,0
8000099,9110634,108268.0,duplicate order,2024-09-02 01:38:00,Approved,Picked,0
8000100,9003837,104259.0,missing parts,2022-02-01 07:42:00,Approved,Picked,0
8000101,9129788,141318.0,product not working,2023-01-02 00:02:00,Rejected,Picked,0
8000102,9025109,145677.0,better price elsewhere,2024-09-27 15:23:00,Approved,Picked,1
8000103,9210842,145300.0,size issue,2022-02-09 12:19:00,Approved,Picked,0
8000104,9087638,125885.0,quality issue,2022-10-24 04:54:00,Approved,Picked,0
8000105,9244934,116437.0,color mismatch,2024-12-21 06:27:00,Approved,Picked,0
8000106,9069281,141073.0,product not working,2022-06-16 16:39:00,Approved,Picked,0
8000107,9039954,114826.0,changed mind,2022-08-19 10:51:00,Rejected,Picked,0
8000108,9171922,123931.0,duplicate order,2025-05-01 17:42:00,Approved,Not Picked,0
8000109,9037678,102120.0,wrong item delivered,2022-03-13 16:51:00,Rejected,Picked,0
8000110,9231505,148384.0,defective product,2024-11-07 07:27:00,Approved,Picked,0
8000111,9226923,106413.0,quality issue,2025-02-12 08:26:00,Rejected,Failed,0
8000112,9051733,131315.0,changed mind,2022-01-31 18:11:00,Approved,Picked,0
8000113,9168101,146480.0,color mismatch,2024-10-03 23:40:00,Approved,Picked,0
8000114,9048671,124366.0,color mismatch,2024-10-15 06:57:00,Approved,Failed,0
8000115,9244318,138136.0,size issue,2023-10-04 13:33:00,Rejected,Failed,0
8000116,9051105,126073.0,missing parts,2023-04-15 19:15:00,Approved,Picked,0
8000117,9225887,113843.0,duplicate order,2024-01-22 19:03:00,Approved,Picked,0
8000118,9198998,114589.0,defective product,2024-05-25 23:09:00,Approved,Picked,0
8000119,9214850,131890.0,missing parts,2023-04-25 21:58:00,Approved,Picked,0
8000120,9195551,128914.0,damaged product,2024-01-08 01:02:00,Approved,Picked,1
8000122,9011065,127482.0,quality issue,2024-11-19 03:42:00,Approved,Picked,0
8000123,9059175,127482.0,quality issue,2022-10-18 16:42:00,Rejected,Picked,0
8000125,9035701,105011.0,quality issue,2025-04-17 11:30:00,Approved,Picked,0
8000127,9188662,102943.0,wrong item delivered,2023-04-14 20:54:00,Approved,Not Picked,0
8000128,9086710,111670.0,product not working,2023-10-02 01:04:00,Approved,Picked,0
8000129,9154971,125030.0,not as described,2022-12-09 20:10:00,Approved,Picked,0
8000130,9035591,129189.0,duplicate order,2022-09-11 00:53:00,Approved,Not Picked,0
8000131,9067474,113330.0,missing parts,2022-07-30 01:30:00,Approved,Picked,0
8000132,9247574,122508.0,better price elsewhere,2025-02-16 01:59:00,Approved,Failed,0
8000133,9025775,114254.0,color mismatch,2024-06-16 08:17:00,Pending,Picked,0
8000134,9203031,141217.0,duplicate order,2023-07-13 11:25:00,Pending,Picked,0
8000135,9023470,149595.0,product not working,2023-12-16 08:47:00,Pending,Not Picked,0
8000136,9249004,114754.0,damaged product,2024-10-30 00:01:00,Rejected,Picked,0
8000137,9180582,131297.0,product not working,2023-03-18 20:06:00,Approved,Picked,0
8000138,9119738,128427.0,changed mind,2023-10-03 19:06:00,Approved,Picked,0
8000139,9030433,110192.0,packaging damaged,2024-08-27 13:36:00,Approved,Picked,0
8000140,9032512,119668.0,defective product,2024-06-23 11:46:00,Approved,Not Picked,0
8000142,9189976,125655.0,damaged product,2024-09-23 01:53:00,Approved,Picked,0
8000143,9183443,135604.0,better price elsewhere,2022-06-21 06:31:00,Pending,Picked,1
8000144,9080442,114829.0,better price elsewhere,2022-10-22 10:02:00,Rejected,Picked,1
8000145,9228829,105740.0,product not working,2023-05-05 14:17:00,Approved,Not Picked,0
8000146,9194695,100366.0,packaging damaged,2024-06-23 07:48:00,Rejected,Picked,0
8000147,9111236,128778.0,damaged product,2023-06-04 03:21:00,Approved,Picked,0
8000148,9162624,117816.0,wrong item delivered,2024-02-11 06:40:00,Approved,Picked,0
8000149,9136885,101271.0,changed mind,2025-03-25 02:58:00,Approved,Picked,0
8000150,9123403,140870.0,color mismatch,2022-05-02 11:50:00,Pending,Picked,0
8000151,9017826,134529.0,missing parts,2022-03-01 02:42:00,Rejected,Picked,0
8000152,9092046,128531.0,better price elsewhere,2022-12-28 02:38:00,Rejected,Picked,0
8000153,9146779,106092.0,missing parts,2023-06-22 22:07:00,Approved,Picked,0
8000154,9131101,103225.0,damaged product,2025-03-05 06:12:00,Rejected,Failed,0
8000155,9236980,148815.0,quality issue,2024-10-17 06:39:00,Rejected,Picked,0
8000156,9184792,145537.0,not as described,2023-01-07 02:36:00,Rejected,Picked,0
8000157,9121655,115502.0,color mismatch,2023-01-30 17:39:00,Rejected,Picked,0
8000158,9127126,115509.0,duplicate order,2025-01-19 19:17:00,Approved,Failed,0
8000159,9151706,130189.0,missing parts,2024-08-24 12:51:00,Pending,Picked,0
8000160,9050934,135970.0,defective product,2024-01-09 06:42:00,Approved,Picked,1
8000161,9124085,133326.0,not as described,2023-11-17 11:24:00,Approved,Picked,0
8000162,9138853,149691.0,quality issue,2022-05-09 16:50:00,Approved,Not Picked,0
8000163,9055178,104487.0,not as described,2022-04-09 21:53:00,Approved,Not Picked,0
8000164,9230455,110772.0,color mismatch,2022-06-10 09:11:00,Approved,Picked,0
8000165,9246909,125695.0,defective product,2024-05-08 12:56:00,Approved,Picked,0
8000166,9092247,145847.0,quality issue,2024-07-30 17:49:00,Approved,Picked,0
8000167,9035458,114448.0,not as described,2023-07-17 19:39:00,Approved,Failed,0
8000168,9052326,108492.0,wrong item delivered,2022-08-09 08:16:00,Pending,Picked,0
8000169,9195862,122901.0,size issue,2024-07-09 21:14:00,Approved,Failed,0
8000170,9179434,137918.0,product not working,2022-04-30 02:21:00,Approved,Picked,0
8000171,9106051,135453.0,wrong item delivered,2022-11-30 01:31:00,Approved,Picked,0
8000172,9135555,134275.0,damaged product,2024-10-03 04:03:00,Rejected,Picked,0
8000173,9209994,132684.0,packaging damaged,2025-02-28 11:28:00,Approved,Picked,0
8000174,9094368,127753.0,wrong item delivered,2022-11-14 19:20:00,Approved,Not Picked,0
8000175,9142481,100783.0,missing parts,2022-05-02 15:30:00,Rejected,Picked,0
8000176,9112453,142386.0,wrong item delivered,2022-12-17 01:21:00,Approved,Not Picked,0
8000177,9185224,126166.0,better price elsewhere,2023-10-10 18:22:00,Pending,Picked,0
8000178,9177845,103906.0,changed mind,2023-03-01 15:31:00,Approved,Not Picked,0
8000179,9199074,135004.0,color mismatch,2022-03-09 06:42:00,Approved,Picked,0
8000180,9184952,125596.0,changed mind,2024-06-06 08:07:00,Approved,Picked,0
8000181,9133926,131639.0,wrong item delivered,2023-01-29 10:14:00,Pending,Picked,0
8000182,9200371,144232.0,changed mind,2025-02-17 20:06:00,Rejected,Picked,0
8000183,9198447,120425.0,better price elsewhere,2022-01-07 15:44:00,Rejected,Not Picked,0
8000184,9118426,104371.0,color mismatch,2023-08-26 15:20:00,Pending,Picked,0
8000185,9203386,105991.0,better price elsewhere,2022-05-05 04:08:00,Approved,Picked,0
8000186,9112670,107525.0,product not working,2024-10-03 16:09:00,Pending,Failed,1
8000187,9119088,111498.0,quality issue,2024-10-21 06:08:00,Rejected,Picked,0
8000188,9063465,116091.0,not as described,2025-04-16 00:37:00,Approved,Picked,0
8000189,9164750,125632.0,product not working,2022-07-05 00:59:00,Approved,Not Picked,0
8000190,9120531,107941.0,duplicate order,2023-07-27 11:14:00,Approved,Picked,0
8000191,9049439,141572.0,defective product,2022-06-04 08:55:00,Approved,Picked,0
8000192,9091112,121432.0,product not working,2024-10-26 16:41:00,Rejected,Picked,0
8000193,9028921,148198.0,packaging damaged,2024-11-16 19:56:00,Approved,Picked,0
8000194,9008412,107508.0,damaged product,2024-04-13 01:29:00,Approved,Failed,0
8000195,9210706,126984.0,defective product,2022-04-24 13:00:00,Approved,Failed,0
8000197,9048668,132029.0,not as described,2023-06-29 06:23:00,Approved,Picked,0
8000198,9117176,116332.0,color mismatch,2023-11-11 06:47:00,Approved,Picked,0
8000199,9080695,145895.0,size issue,2022-04-12 16:11:00,Approved,Not Picked,0
8000200,9041097,135074.0,changed mind,2023-07-05 19:09:00,Approved,Picked,0
8000201,9158660,139375.0,size issue,2024-02-01 18:50:00,Approved,Failed,0
8000202,9163269,122247.0,not as described,2023-09-16 03:59:00,Approved,Not Picked,0
8000203,9161472,127842.0,size issue,2024-12-28 18:14:00,Approved,Not Picked,0
8000204,9216161,143484.0,better price elsewhere,2022-03-04 21:24:00,Approved,Picked,0
8000205,9042789,108443.0,packaging damaged,2023-07-03 19:07:00,Approved,Picked,0
8000206,9187389,130428.0,damaged product,2024-10-30 05:34:00,Approved,Picked,0
8000207,9085617,147881.0,missing parts,2024-11-24 08:17:00,Approved,Not Picked,0
8000208,9058205,125231.0,damaged product,2024-07-09 08:15:00,Rejected,Picked,0
8000209,9096307,105746.0,damaged product,2023-04-08 21:20:00,Approved,Picked,0
8000210,9164238,119791.0,changed mind,2022-08-22 19:29:00,Rejected,Picked,0
8000211,9086300,107909.0,quality issue,2023-11-30 20:06:00,Pending,Not Picked,0
8000212,9040073,133974.0,duplicate order,2025-02-22 04:23:00,Approved,Picked,0
8000213,9049102,103731.0,wrong item delivered,2024-08-23 09:57:00,Pending,Not Picked,0
8000214,9032902,139774.0,better price elsewhere,2022-01-07 14:45:00,Rejected,Picked,0
8000215,9176358,114145.0,missing parts,2023-11-10 16:58:00,Approved,Failed,0
8000216,9107440,129704.0,damaged product,2024-04-22 09:02:00,Approved,Failed,0
8000217,9210788,121908.0,quality issue,2023-08-01 07:15:00,Approved,Picked,0
8000218,9003151,116517.0,not as described,2024-08-21 19:47:00,Approved,Picked,0
8000219,9130858,126516.0,better price elsewhere,2022-03-23 15:30:00,Approved,Failed,0
8000220,9014902,132294.0,size issue,2022-02-17 16:37:00,Rejected,Not Picked,0
8000221,9156235,105532.0,changed mind,2023-02-05 00:35:00,Approved,Not Picked,0
8000222,9208749,134401.0,better price elsewhere,2023-12-22 03:03:00,Approved,Picked,0
8000223,9024071,113663.0,not as described,2023-12-26 01:03:00,Approved,Picked,0
8000224,9008309,128125.0,better price elsewhere,2025-01-20 08:47:00,Approved,Not Picked,0
8000225,9114970,143101.0,duplicate order,2024-12-13 05:06:00,Pending,Picked,0
8000226,9176008,133130.0,better price elsewhere,2024-03-24 18:17:00,Approved,Failed,0
8000227,9168523,127889.0,quality issue,2023-05-01 13:50:00,Rejected,Picked,0
8000228,9180694,106071.0,not as described,2023-07-30 21:14:00,Approved,Picked,0
8000230,9049665,129818.0,better price elsewhere,2023-04-02 01:26:00,Approved,Not Picked,0
8000231,9181583,146406.0,color mismatch,2024-11-20 06:00:00,Approved,Picked,0
8000232,9149731,136129.0,packaging damaged,2025-01-20 17:09:00,Pending,Picked,0
8000233,9047833,101818.0,changed mind,2025-03-09 14:22:00,Approved,Picked,0
8000234,9018960,115653.0,missing parts,2023-03-27 22:32:00,Pending,Picked,0
8000235,9228517,135657.0,color mismatch,2023-01-18 06:21:00,Approved,Picked,0
8000236,9171106,148743.0,not as described,2022-09-26 09:27:00,Rejected,Not Picked,0
8000237,9136217,105613.0,damaged product,2024-10-31 00:48:00,Rejected,Failed,0
8000238,9038555,119449.0,packaging damaged,2026-02-23 01:26:00,Pending,Not Picked,0
8000239,9140166,109167.0,missing parts,2022-07-24 14:37:00,Approved,Picked,0
8000240,9038580,130759.0,product not working,2024-01-08 21:03:00,Approved,Not Picked,0
8000241,9088566,121487.0,size issue,2023-10-25 04:04:00,Pending,Not Picked,0
8000242,9186128,107540.0,changed mind,2023-11-16 03:20:00,Rejected,Failed,0
8000243,9087235,130702.0,changed mind,2024-10-26 05:20:00,Pending,Picked,0
8000244,9131285,113807.0,missing parts,2026-04-23 08:13:00,Rejected,Picked,0
8000245,9180394,127516.0,packaging damaged,2023-01-21 00:18:00,Approved,Picked,0
8000246,9003045,117890.0,changed mind,2023-11-10 03:48:00,Rejected,Not Picked,0
8000247,9182538,144934.0,defective product,2024-07-31 20:19:00,Approved,Picked,0
8000248,9003354,124888.0,damaged product,2022-03-17 00:00:00,Approved,Picked,0
8000249,9158286,117464.0,duplicate order,2023-08-17 08:50:00,Approved,Not Picked,0
8000250,9027369,137438.0,damaged product,2023-01-16 12:02:00,Rejected,Picked,0
8000251,9005845,104872.0,better price elsewhere,2024-05-16 03:09:00,Pending,Picked,0
8000252,9217400,102155.0,product not working,2022-07-26 20:53:00,Approved,Picked,0
8000253,9206692,111500.0,quality issue,2022-08-04 09:47:00,Approved,Picked,0
8000254,9231666,142948.0,better price elsewhere,2025-04-10 08:56:00,Approved,Picked,0
8000255,9075920,120419.0,product not working,2022-07-20 17:30:00,Rejected,Not Picked,1
8000256,9193925,119735.0,defective product,2024-05-12 16:54:00,Rejected,Not Picked,0
8000257,9107819,117632.0,color mismatch,2024-02-05 22:19:00,Pending,Picked,0
8000258,9017932,114645.0,wrong item delivered,2025-02-05 16:31:00,Approved,Not Picked,0
8000259,9176211,142987.0,changed mind,2024-12-16 06:22:00,Approved,Picked,0
8000260,9138065,119938.0,color mismatch,2025-01-08 01:24:00,Approved,Picked,0
8000261,9068241,146297.0,wrong item delivered,2023-07-11 16:55:00,Approved,Not Picked,0
8000262,9170102,103039.0,better price elsewhere,2023-06-09 22:08:00,Approved,Picked,0
8000263,9091705,101827.0,duplicate order,2023-08-30 22:14:00,Approved,Picked,0
8000264,9020178,149378.0,quality issue,2024-12-03 19:33:00,Pending,Picked,0
8000266,9171424,109098.0,better price elsewhere,2023-01-31 20:02:00,Rejected,Picked,0
8000267,9026627,145909.0,packaging damaged,2025-03-24 03:15:00,Approved,Not Picked,0
8000268,9243680,102682.0,defective product,2023-02-15 20:33:00,Pending,Picked,0
8000269,9227277,146742.0,wrong item delivered,2025-01-24 05:30:00,Approved,Failed,0
8000270,9163972,106344.0,wrong item delivered,2022-05-25 13:57:00,Pending,Picked,0
8000271,9157019,112361.0,defective product,2022-06-01 01:18:00,Approved,Picked,0
8000272,9140227,148035.0,damaged product,2022-02-03 01:32:00,Pending,Picked,0
8000273,9089242,142752.0,quality issue,2022-04-07 06:47:00,Approved,Picked,1
8000274,9175993,117146.0,product not working,2022-11-23 10:14:00,Approved,Picked,0
8000275,9102895,123043.0,size issue,2024-06-07 13:06:00,Approved,Picked,0
8000276,9227530,147274.0,defective product,2024-09-04 09:28:00,Pending,Picked,0
8000277,9237210,138724.0,size issue,2024-01-18 20:08:00,Rejected,Failed,1
8000278,9044603,101515.0,better price elsewhere,2023-03-29 21:13:00,Pending,Failed,0
8000279,9222991,114017.0,missing parts,2025-03-28 03:00:00,Approved,Picked,0
8000280,9170755,141213.0,packaging damaged,2022-06-15 07:59:00,Approved,Picked,0
8000281,9200285,107497.0,size issue,2022-02-15 13:02:00,Pending,Picked,0
8000282,9188882,146102.0,size issue,2025-01-28 07:26:00,Rejected,Picked,0
8000283,9106846,114592.0,product not working,2022-03-01 22:37:00,Approved,Picked,0
8000284,9210117,104919.0,defective product,2022-01-15 18:24:00,Rejected,Not Picked,0
8000285,9094750,116507.0,better price elsewhere,2024-09-03 06:26:00,Rejected,Picked,0
8000287,9174314,134095.0,packaging damaged,2023-12-03 00:02:00,Approved,Picked,0
8000288,9206673,114105.0,defective product,2024-10-29 01:01:00,Rejected,Picked,1
8000289,9114288,114438.0,changed mind,2024-01-23 23:53:00,Approved,Failed,0
8000290,9230724,118058.0,changed mind,2022-11-21 02:30:00,Pending,Picked,0
8000291,9027974,117894.0,packaging damaged,2022-05-01 13:28:00,Pending,Not Picked,0
8000292,9022030,131071.0,size issue,2024-05-08 10:05:00,Approved,Picked,0
8000293,9142815,139149.0,duplicate order,2023-02-06 11:15:00,Approved,Picked,0
8000294,9194076,119308.0,packaging damaged,2024-10-23 02:21:00,Rejected,Picked,0
8000295,9187200,110173.0,missing parts,2025-01-28 10:15:00,Approved,Picked,0
8000296,9190730,125560.0,missing parts,2022-03-13 09:18:00,Approved,Picked,0
8000297,9119607,101996.0,defective product,2022-01-29 02:38:00,Approved,Not Picked,0
8000298,9063972,124382.0,damaged product,2026-06-06 20:04:00,Approved,Picked,0
8000300,9226066,120741.0,product not working,2025-03-21 15:23:00,Approved,Picked,0
8000301,9159255,102454.0,better price elsewhere,2023-02-23 10:23:00,Approved,Picked,0
8000302,9214702,143870.0,size issue,2022-06-21 20:41:00,Approved,Not Picked,0
8000303,9046648,101678.0,packaging damaged,2023-07-10 05:45:00,Approved,Not Picked,1
8000304,9080788,102086.0,wrong item delivered,2023-12-15 23:28:00,Approved,Not Picked,0
8000305,9010464,131311.0,packaging damaged,2022-02-12 09:12:00,Rejected,Failed,0
8000306,9227547,138039.0,not as described,2022-06-16 18:55:00,Rejected,Not Picked,1
8000307,9245871,120743.0,not as described,2022-03-27 08:52:00,Pending,Not Picked,0
8000308,9023790,116016.0,product not working,2022-07-17 04:55:00,Pending,Picked,1
8000309,9000741,101201.0,missing parts,2024-06-29 08:11:00,Approved,Failed,0
8000310,9072387,147692.0,packaging damaged,2023-05-30 06:31:00,Approved,Not Picked,0
8000311,9179038,116522.0,quality issue,2023-11-01 18:11:00,Rejected,Picked,0
8000312,9196998,118700.0,color mismatch,2023-08-27 04:28:00,Approved,Not Picked,0
8000313,9236426,135196.0,color mismatch,2024-05-20 12:25:00,Rejected,Not Picked,0
8000314,9010262,125738.0,changed mind,2023-04-06 11:21:00,Rejected,Picked,0
8000315,9247860,104021.0,defective product,2024-11-02 23:13:00,Approved,Picked,0
8000316,9033053,119360.0,changed mind,2023-07-25 22:18:00,Approved,Picked,0
8000317,9139401,105786.0,better price elsewhere,2023-03-04 03:45:00,Approved,Picked,0
8000318,9034382,145152.0,size issue,2024-12-28 19:08:00,Rejected,Picked,0
8000319,9204883,127250.0,wrong item delivered,2022-10-18 10:15:00,Approved,Not Picked,0
8000320,9007708,116989.0,color mismatch,2023-07-26 04:23:00,Approved,Picked,0
8000321,9167672,121945.0,size issue,2022-07-26 06:16:00,Pending,Not Picked,0
8000322,9212935,126007.0,wrong item delivered,2024-12-04 02:46:00,Approved,Not Picked,0
8000323,9134285,126513.0,wrong item delivered,2024-11-03 04:41:00,Approved,Failed,0
8000324,9218822,123587.0,duplicate order,2022-08-31 03:28:00,Rejected,Picked,0
8000325,9190342,123810.0,damaged product,2025-04-24 07:45:00,Rejected,Picked,0
8000326,9010422,114665.0,not as described,2022-12-29 16:58:00,Approved,Not Picked,0
8000327,9096860,118594.0,damaged product,2023-11-21 04:31:00,Rejected,Picked,0
8000328,9055835,133279.0,wrong item delivered,2023-01-14 03:13:00,Rejected,Failed,0
8000329,9209434,134790.0,product not working,2022-10-31 23:40:00,Approved,Picked,0
8000330,9171005,126974.0,product not working,2023-07-07 14:57:00,Approved,Picked,0
8000331,9248172,112898.0,missing parts,2023-08-23 23:19:00,Approved,Picked,0
8000332,9189241,119585.0,quality issue,2023-04-17 22:47:00,Approved,Picked,0
8000333,9089198,133014.0,missing parts,2022-12-29 13:07:00,Approved,Failed,0
8000334,9065345,136287.0,not as described,2024-06-12 14:34:00,Rejected,Picked,0
8000335,9181662,105669.0,missing parts,2024-07-26 21:50:00,Pending,Not Picked,0
8000337,9093834,134196.0,not as described,2024-11-09 15:17:00,Rejected,Picked,0
8000338,9047185,119613.0,missing parts,2023-09-14 03:11:00,Approved,Picked,0
8000339,9140057,115156.0,changed mind,2024-04-30 04:41:00,Approved,Failed,0
8000340,9093607,105998.0,better price elsewhere,2024-07-15 02:35:00,Approved,Not Picked,0
8000341,9054991,149057.0,wrong item delivered,2022-04-15 11:29:00,Approved,Picked,0
8000342,9211421,147639.0,defective product,2023-03-14 09:23:00,Rejected,Picked,0
8000343,9157917,136546.0,better price elsewhere,2022-12-05 01:37:00,Pending,Failed,0
