product_id,product_name,category,sub_category,brand,base_price,cost_price,product_rating,return_eligible,seller_id
50052,Nestle Personal Lite 5,Grocery,Personal Care,NESTLE,29107.29,12459.71,3.75,Yes,7423
50053,Parle Beverages Max 5,Grocery,Beverages,PARLE,3164.25,1720.85,4.12,Yes,8819
50054,Cipla Protein Pro 3,Health,Unknown,CIPLA,78069.84,47795.75,3.4,No,8623
50055,Dabur Dairy Elite 5,Grocery,Dairy,DABUR,45056.54,23289.97,4.37,Yes,7753
50056,Tata Fruits Lite 7,Grocery,Fruits Vegetables,TATA,6686.52,4727.88,4.3,Yes,8053
50057,Steelbird Tools Elite 5,Automotive,Tools,STEELBIRD,102012.18,70043.07,3.6,Yes,8354
50058,Xiaomi Tablets Neo 8,Electronics,Tablets,XIAOMI,43915.16,17917.21,4.64,No,8239
50059,Xiaomi Tablets Active 3,Electronics,Tablets,XIAOMI,49145.75,20340.0,3.99,Yes,8351
50060,P&G Snacks Neo 8,Grocery,Snacks,P&G,14446.49,7729.36,3.06,Yes,7563
50062,H&M Footwear Active 9,Fashion,Footwear,H&M,16489.1,6763.7,4.06,Yes,8472
50063,Cipla Vitamins Ultra 8,Health,Vitamins,CIPLA,37219.98,19050.69,4.15,Yes,8031
50064,Woodland Watches Active 4,Fashion,Watches,WOODLAND,324.48,200.28,3.77,Yes,8644
50065,Funskool Soft X 4,Toys,Soft Toys,FUNSKOOL,53946.76,35481.63,3.33,Yes,8584
50066,Louis Philippe Bags Smart 7,Fashion,Bags,LOUIS PHILIPPE,15968.58,7469.6,3.93,No,8210
50067,Parle Fruits Ultra 3,Grocery,Fruits Vegetables,PARLE,49989.19,26179.79,2.64,Yes,8336
50068,OnePlus Laptops X 1,Electronics,Laptops,ONEPLUS,18957.69,7696.47,3.81,Yes,7790
50069,Asus Smartwatches X 9,Electronics,Smartwatches,ASUS,506.5,290.74,2.97,Yes,7367
50070,Van Heusen Bags Neo 7,Fashion,Bags,VAN HEUSEN,4118.5,2274.72,3.91,No,8650
50071,Acer Cameras Lite 2,Electronics,Cameras,ACER,3263.49,1666.93,3.35,No,8614
50072,3M Tyres X 1,Automotive,Tyres,3M,36796.22,24530.55,4.74,Yes,8663
50073,Funskool Remote Flex 7,Toys,Remote Control,FUNSKOOL,13859.5,9509.72,3.0,Yes,8964
50074,Cipla Supplements Ultra 4,Health,Supplements,CIPLA,584.0,361.76,4.66,Yes,7258
50075,Oxford Academic Neo 4,Books,Academic,OXFORD,255.23,115.61,3.88,No,7045
50076,Healthkart Vitamins Mini 8,Health,Vitamins,HEALTHKART,4383.83,2967.9,2.51,No,8875
50077,Amul Personal Air 7,Grocery,Personal Care,AMUL,46022.1,20539.82,2.54,No,8387
50078,Fast&Up Vitamins Flex 4,Health,Vitamins,FAST&UP,13705.87,6637.51,4.91,No,8707
50079,Muscleblaze First Edge 9,Health,First Aid,MUSCLEBLAZE,2816.31,1211.61,3.24,Yes,7710
50080,Sony Tablets Edge 6,Electronics,Tablets,SONY,225499.79,141552.15,2.62,Yes,7200
50081,SG Swimming Edge 5,Sports,Swimming,SG,390.91,281.3,2.99,Yes,7529
50082,Nestle Staples Ultra 7,Grocery,Staples,NESTLE,169.45,121.08,4.44,Yes,8276
50083,Nivia Cycling Edge 5,Sports,Cycling,NIVIA,67396.98,47177.88599999999,4.33,Yes,7308
50084,Steelbird Tyres Ultra 6,Automotive,Tyres,STEELBIRD,772.19,544.72,3.14,Yes,8378
50085,S.Chand Children Air 8,Books,Children Books,S.CHAND,3288.2,2323.01,2.61,Yes,8068
50086,Samsung Galaxy M35 5G,Sports,Fitness Equipment,SPEEDO,2818.25,1492.23,4.94,Yes,8182
50087,Funskool Puzzles Mini 3,Toys,Puzzles,FUNSKOOL,52566.51,22798.31,3.02,No,7212
50088,Decathlon Cricket Mini 3,Sports,Cricket,DECATHLON,169021.48,100444.81,3.1,Yes,8673
50089,Samsung Gaming Active 4,Electronics,Gaming,SAMSUNG,3631.32,1567.11,3.12,Yes,8499
50090,Abbott Vitamins Premium 3,Health,Vitamins,ABBOTT,3945.47,1597.97,2.88,Yes,7652
50091,Fastrack Sunglasses Neo 7,Fashion,Sunglasses,FASTRACK,158157.76,91981.25,3.9,Yes,7964
50092,Dove Fragrances Edge 4,Beauty,Fragrances,DOVE,2164.86,1150.08,2.52,Yes,7705
50093,Nike Sports Shoes Pro,Sports,Cricket,REEBOK,10245.41,7187.58,3.96,Yes,7303
50094,Orient Decor Mini 8,Home Kitchen,Decor,ORIENT,221952.85,108957.89,3.1,Yes,7192
50095,Puma Women Mini 5,Fashion,Women Clothing,PUMA,28073.13,16687.35,2.84,Yes,8677
50096,Lego Soft Plus 3,Toys,Soft Toys,LEGO,2174.49,1375.52,3.42,Yes,7529
50097,Boat Smart Pro 3,Electronics,Smart Tvs,BOAT,3571.37,2548.22,3.95,No,8918
50098,Dove Fragrances Premium 9,Beauty,Fragrances,DOVE,757.22,445.58,3.4,Yes,7984
50099,Cipla Vitamins Ultra 4,Health,Vitamins,CIPLA,716.74,301.64,4.44,Yes,7218
50100,Shell Tools Flex 7,Automotive,Tools,SHELL,51016.59,32335.32,3.02,Yes,7490
50101,Himalaya Supplements Ultra 2,Health,Supplements,HIMALAYA,4340.15,1922.96,3.5,No,8909
50102,Van Heusen Bags Pro 1,Fashion,Bags,VAN HEUSEN,1515.57,826.71,2.78,No,8871
50103,Abbott Protein Mini 8,Health,Protein,ABBOTT,311.78,201.27,4.68,No,7620
50104,Abbott Vitamins Air 3,Health,Vitamins,ABBOTT,2551.1,1277.46,4.2,Yes,7842
50105,Apple Accessories Edge 7,Electronics,Accessories,APPLE,52838.62,36827.5,2.52,Yes,8379
50106,Cipla Medical Lite 3,Health,Medical Devices,CIPLA,2198.79,1371.55,3.1,Yes,8842
50107,Muscleblaze Vitamins Air 3,Health,Vitamins,MUSCLEBLAZE,53325.54,27396.97,2.93,Yes,8295
50108,Mattel Board Lite 4,Toys,Board Games,MATTEL,2390.33,1094.11,4.99,No,8518
50109,Reebok Swimming Ultra 5,Sports,Swimming,REEBOK,196.38,106.15,3.36,Yes,8402
50110,Hasbro Soft Air 2,Toys,Soft Toys,HASBRO,1398.8,701.81,3.95,No,7152
50111,Borosil Furniture Lite 6,Home Kitchen,Furniture,BOROSIL,449.38,200.76,3.85,Yes,7606
50112,Castrol Lubricants Mini 4,Automotive,Lubricants,CASTROL,3465.61,2111.56,3.35,Yes,7540
50113,Shell Lubricants Elite 6,Automotive,Lubricants,SHELL,7072.46,4915.38,3.46,Yes,8616
50114,Webby Puzzles Ultra 8,Toys,Puzzles,WEBBY,2490.42,1293.81,3.53,Yes,8917
50115,Himalaya First Lite 8,Health,First Aid,HIMALAYA,28008.48,17601.14,4.66,Yes,8546
50116,Steelbird Tyres Air 9,Automotive,Tyres,STEELBIRD,18832.71,12862.53,3.27,Yes,8255
50117,Prestige Storage Air 1,Home Kitchen,Storage,PRESTIGE,3616.39,2601.55,4.08,Yes,7486
50118,Forest Essentials Fragrances Air 9,Beauty,Fragrances,FOREST ESSENTIALS,814.44,330.78,4.44,Yes,8104
50119,Himalaya Vitamins Neo 2,Health,Vitamins,HIMALAYA,8541.96,5192.05,3.44,No,7347
50120,P&G Staples Active 2,Grocery,Staples,P&G,2898.64,1904.8,4.35,No,7959
50121,Nike Bags X 8,Fashion,Bags,NIKE,46411.43,23945.09,3.91,No,8797
50122,Decathlon Badminton Neo 1,Sports,Badminton,DECATHLON,11912.37,6840.06,3.97,Yes,7156
50123,3M Lubricants Smart 1,Automotive,Lubricants,3M,16831.51,11591.77,4.9,Yes,8956
50124,Arihant Self Max 7,Books,Self Help,ARIHANT,2413.22,1648.07,3.96,Yes,7618
50125,Funskool Remote Neo 3,Toys,Remote Control,FUNSKOOL,4044.09,1963.29,3.83,Yes,7420
50126,Prestige Bedding Active 9,Home Kitchen,Bedding,PRESTIGE,60099.7,36495.97,4.63,Yes,7714
50127,Boat Gaming Flex 4,Electronics,Gaming,BOAT,34300.92,17212.39,3.75,Yes,8743
50128,Forest Essentials Fragrances Ultra 9,Beauty,Fragrances,FOREST ESSENTIALS,754.04,450.73,2.67,Yes,8823
50129,LOreal Fragrances Neo 7,Beauty,Fragrances,LOREAL,15271.14,7645.75,2.52,Yes,7115
50130,Penguin Academic Mini 1,Books,Academic,PENGUIN,1940.14,1069.95,2.8,No,8135
50131,Nivia Cycling Active 7,Sports,Cycling,NIVIA,330.97,204.39,4.23,Yes,7550
50132,Bosch Tyres Elite 2,Automotive,Tyres,BOSCH,6351.44,3813.29,5.0,Yes,7153
50133,ITC Cleaning Premium 6,Grocery,Cleaning,ITC,1870.71,906.35,3.07,No,7398
50134,Cosco Badminton Ultra 7,Sports,Badminton,COSCO,24296.27,11672.28,3.15,Yes,7742
50135,Sony Tablets Pro 5,Electronics,Tablets,SONY,3505.54,2508.76,2.9,No,8174
50136,WEBBY Soft Elite 5,Toys,Soft Toys,WEBBY,283.27,159.25,3.76,Yes,7620
50137,Ok Play Remote Air 1,Toys,Remote Control,OK PLAY,30562.38,20973.57,3.19,Yes,8101
50138,Maybelline Skincare Max 9,Beauty,Skincare,MAYBELLINE,746.76,399.57,2.7,Yes,8252
50139,OnePlus Smartwatches Pro 3,Electronics,Smartwatches,ONEPLUS,1738.03,863.31,2.87,Yes,8791
50140,Dabur Ayurveda Flex 8,Health,Ayurveda,DABUR,699.67,448.15,4.61,No,8199
50141,Nestle Dairy Edge 4,Grocery,Dairy,NESTLE,2260.12,1583.02,4.59,Yes,7624
50143,Michelin Tyres Air 6,Automotive,Tyres,MICHELIN,647.16,437.49,4.62,No,7320
50144,Bosch Tools Air 5,Automotive,Tools,BOSCH,17570.37,8936.34,2.69,Yes,8986
50145,Lakme Haircare Lite 2,Beauty,Haircare,LAKME,70441.37,35882.54,2.92,Yes,7016
50146,Michelin Tools Flex 3,Automotive,Tools,MICHELIN,1283.68,913.42,3.31,Yes,8874
50147,SG Fitness Max 1,Sports,Fitness Equipment,SG,21439.53,11695.35,4.2,No,7097
50148,JBL Headphones Neo 1,Electronics,Headphones,JBL,9004.54,6410.38,2.79,Yes,7043
50149,HarperCollins Fiction Elite 3,Books,Fiction,HARPERCOLLINS,3038.59,1442.54,4.67,Yes,8299
50150,Michelin Tyres Elite 8,Automotive,Tyres,MICHELIN,914.14,630.27,3.44,No,7442
50151,LOreal Fragrances X 6,Beauty,Fragrances,LOREAL,915.83,570.93,3.78,Yes,8271
50152,Webby Action Pro 1,Toys,Action Figures,WEBBY,415.89,204.63,4.31,Yes,7498
50153,Nike Footwear Smart 8,Fashion,Footwear,NIKE,709.75,329.03,3.1,Yes,8669
50154,Ok Play Remote X 4,Toys,Remote Control,OK PLAY,3333.82,2329.15,2.52,No,7748
50155,Tanishq Bags Lite 7,Fashion,Bags,TANISHQ,63490.74,29462.8,3.65,Yes,8085
50156,OPPO Accessories Mini 9,Electronics,Accessories,OPPO,4711.9,2143.53,2.72,Yes,7946
50157,Samsung Smartwatches X 2,Electronics,Smartwatches,SAMSUNG,701.94,338.91,4.15,No,8981
50158,H&M Men Plus 7,Fashion,Unknown,H&M,37227.46,21260.04,3.73,Yes,7028
50159,Fisher Price Educational Air 3,Toys,Educational,FISHER PRICE,435.84,249.62,2.99,Yes,8080
50160,Boat Rockerz 550,Grocery,Cleaning,TATA,774.43,486.73,3.82,Yes,7651
50161,Boat Headphones Smart 6,Electronics,Headphones,BOAT,265464.38,166433.63,4.06,Yes,8856
50162,CASTROL Tyres Edge 6,Automotive,Tyres,CASTROL,6260.16,2693.4,3.67,Yes,8735
50163,Webby Puzzles Lite 5,Toys,Puzzles,WEBBY,4250.45,2541.89,4.53,No,8169
50164,Lakme Makeup Premium 4,Beauty,Makeup,LAKME,8804.08,5500.0,3.23,Yes,8716
50165,Pearson Non Neo 8,Books,Non Fiction,PEARSON,902.28,464.31,2.99,Yes,8088
50166,HarperCollins Non Smart 6,Books,Non Fiction,HARPERCOLLINS,871.29,434.95,2.62,Yes,8790
50167,Muscleblaze Vitamins Neo 4,Health,Vitamins,MUSCLEBLAZE,18543.06,12286.88,4.74,Yes,8736
50169,MILTON Lighting Active 7,Home Kitchen,Lighting,MILTON,1456.21,834.91,3.91,Yes,7537
50170,Vega Lubricants Ultra 3,Automotive,Lubricants,VEGA,403.22,253.6,4.58,Yes,8710
50171,Arihant Non Ultra 2,Books,Non Fiction,ARIHANT,1572.05,759.92,4.07,Yes,8069
50172,Dabur Vitamins X 4,Health,Vitamins,DABUR,4472.56,3151.29,4.65,Yes,7236
50173,Dove Mens Mini 5,Beauty,Mens Grooming,DOVE,2821.13,1409.12,2.76,No,8088
50174,Philips Bedding Premium 5,Home Kitchen,Bedding,PHILIPS,6404.95,4303.09,4.52,No,8640
50175,Cosco Running Mini 7,Sports,Running,COSCO,9038.48,4300.85,4.8,No,8164
50176,SG Fitness Premium 7,Sports,Fitness Equipment,SG,17918.22,12140.12,4.86,Yes,7143
50177,Pearson Children Air 3,Books,Children Books,PEARSON,4334.6,2493.49,2.81,No,8498
50178,Usha Decor Ultra 8,Home Kitchen,Decor,USHA,85145.87,60104.22,4.77,Yes,8241
50179,bata Women Air 7,Fashion,Women Clothing,BATA,3107.68,1927.92,4.17,No,7975
50180,Philips Lighting Mini 9,Home Kitchen,Lighting,PHILIPS,4498.98,2938.32,2.92,No,8536
50181,Prestige Cookware Flex 1,Home Kitchen,Cookware,PRESTIGE,9248.26,6244.18,4.75,Yes,8928
50182,LG Smart Ultra 1,Electronics,Smart Tvs,LG,455.28,208.2,2.86,Yes,7493
50183,Nike Sports Shoes Pro,Grocery,Fruits Vegetables,PARLE,275191.78,177289.59,4.62,No,7808
50184,Michelin Tyres Smart 4,Automotive,Tyres,MICHELIN,1571.06,834.26,3.57,Yes,7016
50185,Speedo Badminton Elite 7,Sports,Badminton,SPEEDO,193363.46,102083.02,4.24,No,7801
50186,Fastrack Footwear Edge 6,Fashion,Footwear,FASTRACK,3516.64,1807.01,4.59,Yes,8901
50187,Vega Car Smart 5,Automotive,Car Accessories,VEGA,111.78,61.99,3.36,Yes,7496
50188,Van Heusen Men Elite 2,Fashion,Men Clothing,VAN HEUSEN,2705.98,1716.43,3.21,Yes,8201
50189,Prestige Bedding Lite 7,Home Kitchen,Bedding,PRESTIGE,311.35,164.52,4.81,Yes,7605
50190,Scholastic Self Edge 8,Books,Self Help,SCHOLASTIC,4763.31,3515.61,3.67,Yes,7700
50191,Boat Mobiles Lite 9,Electronics,Mobiles,BOAT,4087.18,2446.33,3.34,No,7267
50192,Butterfly Storage Smart 8,Home Kitchen,Storage,BUTTERFLY,207.5,101.54,4.92,Yes,7375
50193,Arihant Biographies Active 6,Books,Biographies,ARIHANT,272.68,191.48,4.39,No,8911
50194,Nike Sports Shoes Pro,Automotive,Tools,CASTROL,15359.0,6998.87,4.51,Yes,8096
50195,Cipla Supplements Edge 1,Health,Supplements,CIPLA,10107.66,6771.52,4.67,No,7010
50196,Biotique Haircare Mini 6,Beauty,Haircare,BIOTIQUE,41296.26,27578.88,3.86,Yes,8195
50197,Funskool Board Active 3,Toys,Board Games,FUNSKOOL,697.98,480.85,4.24,Yes,8788
50198,Funskool Board Edge 8,Toys,Board Games,FUNSKOOL,9043.36,4212.91,2.67,Yes,7062
50199,Dabur Personal Max 6,Grocery,Personal Care,DABUR,16761.23,9404.31,4.98,Yes,7147
50200,Butterfly Lighting Plus 6,Home Kitchen,Lighting,BUTTERFLY,16244.1,7757.32,3.79,Yes,8015
50201,UCB Kids Mini 1,Fashion,Kids Wear,UCB,17221.54,7973.52,3.6,Yes,7234
50202,Hasbro Action Elite 3,Toys,Action Figures,HASBRO,55984.54,30587.38,3.09,Yes,8459
50203,MRF Running Neo 6,Sports,Running,MRF,1819.47,1194.54,4.97,Yes,7447
50204,Sony Mobiles Plus 1,Electronics,Mobiles,SONY,52524.83,33486.68,3.03,Yes,8284
50205,H&M Kids X 8,Fashion,Kids Wear,H&M,3782.06,1879.01,4.14,No,8781
50206,HarperCollins Non Edge 5,Books,Non Fiction,HARPERCOLLINS,4117.85,2383.59,4.1,Yes,8008
50207,Maybelline Haircare Air 4,Beauty,Haircare,MAYBELLINE,13469.27,7405.92,3.74,Yes,7534
50208,Orient Decor Neo 7,Home Kitchen,Decor,ORIENT,129.31,65.7,3.49,No,8250
50209,Parle Fruits Active 8,Grocery,Fruits Vegetables,PARLE,4766.54,3163.69,4.75,Yes,8115
50210,Hasbro Board Ultra 3,Toys,Board Games,HASBRO,182.14,74.89,4.65,Yes,7245
50211,Reebok Cricket Pro 9,Sports,Cricket,REEBOK,257813.45,122956.46,4.8,No,8078
50212,fast&up Ayurveda X 2,Health,Ayurveda,FAST&UP,79722.21,54888.01,4.35,No,8971
50213,Fast&Up Protein Plus 8,Health,Protein,FAST&UP,64253.83,27314.75,3.93,No,7715
50214,Hasbro Soft Neo 3,Toys,Soft Toys,HASBRO,268833.9,137766.22,4.02,Yes,7146
50215,Steelbird Tools Air 3,Automotive,Tools,STEELBIRD,147345.4,87477.54,3.35,Yes,7628
50216,Nikon Cameras Neo 8,Electronics,Cameras,NIKON,227.38,154.14,3.45,Yes,7908
50217,Titan Men Ultra 5,Fashion,Men Clothing,TITAN,523.52,273.37,3.85,Yes,7054
50218,Lego Action Plus 4,Toys,Action Figures,LEGO,18246.51,9776.09,4.03,Yes,7592
50219,Boat Rockerz 550,Fashion,Jewellery,UCB,5945.89,3326.99,2.98,Yes,7344
50220,Parle Beverages Max 1,Grocery,Beverages,PARLE,347.32,188.82,3.75,Yes,8110
50221,SG Cycling Smart 5,Sports,Cycling,SG,43615.55,19758.24,3.26,No,8220
50222,Peter England Bags Plus 4,Fashion,Bags,PETER ENGLAND,267.05,141.11,4.04,Yes,8370
50223,Hasbro Soft Lite 9,Toys,Soft Toys,HASBRO,68485.48,37815.46,3.27,Yes,8720
50224,Decathlon Swimming Mini 2,Sports,Swimming,DECATHLON,259510.74,130882.65,2.62,No,8158
50225,Xiaomi Smartwatches Neo 2,Electronics,Smartwatches,XIAOMI,21678.02,11089.85,4.02,Yes,7481
50226,Britannia Cleaning X 4,Grocery,Cleaning,BRITANNIA,4203.97,1961.0,4.57,Yes,7705
50227,Ok Play Puzzles Ultra 1,Toys,Puzzles,OK PLAY,241347.63,153249.48,4.6,No,8940
50228,Borosil Bedding Air 5,Home Kitchen,Bedding,BOROSIL,7585.89,3471.53,3.07,Yes,7164
50229,Van Heusen Sunglasses Premium 4,Fashion,Sunglasses,VAN HEUSEN,505.26,205.67,3.83,Yes,7565
50230,Vega Tyres Premium 1,Automotive,Tyres,VEGA,104150.03,50870.24,3.66,Yes,7474
50231,OnePlus Smartwatches Premium 1,Electronics,Smartwatches,ONEPLUS,1706.17,1106.91,4.29,Yes,7297
50232,Amul Personal Air 8,Grocery,Personal Care,AMUL,3411.9,1982.98,3.95,Yes,8711
50233,Scholastic Non Active 3,Books,Non Fiction,SCHOLASTIC,4195.8,2314.28,2.55,Yes,8304
50234,Noise Laptops Plus 7,Electronics,Laptops,NOISE,1899.43,1206.35,3.69,Yes,8761
50235,Muscleblaze Vitamins Flex 8,Health,Vitamins,MUSCLEBLAZE,295.82,159.42,5.0,No,8522
50236,Milton Decor Mini 1,Home Kitchen,Decor,MILTON,3454.39,2418.073,3.24,Yes,8470
50237,Pantene Fragrances Elite 8,Beauty,Fragrances,PANTENE,8683.51,5877.83,3.83,Yes,7962
50238,Britannia Personal Air 3,Grocery,Personal Care,BRITANNIA,252123.44,142072.25,4.09,No,8143
50239,Penguin Academic Plus 1,Books,Academic,PENGUIN,213.48,97.58,2.66,No,7026
50240,S.Chand Self Ultra 6,Books,Self Help,S.CHAND,27157.7,17081.58,4.02,Yes,7775
50241,Zara Bags Max 1,Fashion,Bags,ZARA,8939.62,3642.31,3.78,Yes,7245
50242,Muscleblaze Protein Max 3,Health,Protein,MUSCLEBLAZE,50521.23,37890.9225,3.67,No,7582
50243,Cipla Medical Plus 4,Health,Medical Devices,CIPLA,12737.86,9167.68,3.59,Yes,7941
50244,MRF Fitness Ultra 9,Sports,Fitness Equipment,MRF,148.17,90.89,4.78,Yes,8393
50245,Abbott Medical Plus 3,Health,Medical Devices,ABBOTT,252.67,154.98,3.14,Yes,7023
50246,Speedo Cricket Edge 7,Sports,Cricket,SPEEDO,4477.27,2688.37,2.65,Yes,8913
50247,Van Heusen Footwear Ultra 2,Fashion,Footwear,VAN HEUSEN,1382.4,768.07,3.61,Yes,8899
50249,Himalaya Protein Mini 6,Health,Protein,HIMALAYA,13626.7,9437.32,2.65,Yes,7179
50250,Oxford Self Smart 8,Books,Self Help,OXFORD,44509.87,21971.81,4.94,No,8616
50251,HarperCollins Non Max 7,Books,Non Fiction,HARPERCOLLINS,182.21,87.93,3.38,Yes,7870
50252,3M Tools Smart 1,Automotive,Tools,3M,3478.28,1440.03,4.8,Yes,8640
50253,P&G Fruits Air 7,Grocery,Fruits Vegetables,P&G,869.94,605.24,4.79,Yes,8607
50254,Fast&Up Protein Mini 2,Health,Protein,FAST&UP,5573.2,3940.89,3.97,Yes,7299
50255,Tata Staples Pro 7,Grocery,Staples,TATA,3148.31,1288.66,2.68,Yes,7240
50256,Nestle Cleaning Air 1,Grocery,Cleaning,NESTLE,8525.06,4899.55,2.83,No,8739
50257,H&M Women Flex 4,Fashion,Women Clothing,H&M,1663.88,705.97,2.63,Yes,8841
50258,Fast&Up Ayurveda Neo 4,Health,Ayurveda,FAST&UP,4877.94,2098.29,3.39,Yes,8759
50259,Apple Mobiles Elite 1,Electronics,Mobiles,APPLE,72357.39,35496.13,4.19,Yes,7745
50260,UCB Footwear Plus 8,Fashion,Footwear,UCB,23667.92,16027.38,4.83,Yes,7732
50261,Nivea Mens X 3,Beauty,Mens Grooming,NIVEA,859.87,437.57,4.77,Yes,8017
50262,Van Heusen Jewellery Lite 8,Fashion,Jewellery,VAN HEUSEN,122386.41,52469.65,3.28,Yes,8795
50263,Steelbird Bike Smart 3,Automotive,Bike Accessories,STEELBIRD,306.13,176.65,2.54,Yes,7315
50264,Puma Footwear Air 6,Fashion,Footwear,PUMA,784.7,488.17,3.9,Yes,8028
50265,Lego Puzzles Premium 5,Toys,Puzzles,LEGO,283.43,124.0,4.67,Yes,8785
50266,Louis Philippe Sunglasses Neo 3,Fashion,Sunglasses,LOUIS PHILIPPE,1392.74,583.02,2.51,Yes,8076
