ticket_id,customer_id,order_id,ticket_category,ticket_created_date,resolution_status,resolution_time_hours,customer_sentiment,has_order_flag
7500035,136574,9207916,Delivery Issue,2025-03-05 20:34:00,Open,125,Neutral,1
7500036,121079,9008163,Wrong Item,2024-05-18 13:12:00,Resolved,14,Negative,1
7500037,100254,9232586,Delivery Issue,2022-10-22 21:55:00,Open,8,Neutral,1
7500039,101143,9056562,Delivery Issue,2023-10-25 13:57:00,Resolved,51,Negative,1
7500040,121153,9241647,Delivery Issue,2023-03-26 13:22:00,Open,21,Positive,1
7500042,134169,9082181,Refund,2023-05-30 07:54:00,Open,4,Negative,1
7500043,109483,9235441,Delivery Issue,2023-05-09 20:04:00,Open,22,Negative,1
7500044,127522,9177187,Refund,2022-11-09 01:59:00,Escalated,14,Negative,1
7500045,129248,9132222,Product Quality,2024-05-13 12:03:00,Open,122,Positive,1
7500046,136161,9119153,Product Quality,2023-11-17 03:38:00,Open,20,Positive,1
7500048,141320,,Account Issue,2022-02-20 10:18:00,Resolved,22,Negative,0
7500049,110181,9032443,Unknown,2022-09-18 18:47:00,Resolved,107,Positive,1
7500050,144977,9051098,Account Issue,2025-01-12 15:37:00,Closed,4,Negative,1
7500051,107239,9149572,Payment Issue,2022-12-22 20:43:00,Escalated,60,Positive,1
7500053,148079,9201383,Technical Support,2022-09-11 14:16:00,Open,165,Negative,1
7500054,148383,9072475,Wrong Item,2025-01-26 11:20:00,Open,7,Negative,1
7500055,112800,9106333,Cancellation,2022-05-27 08:54:00,Resolved,61,Neutral,1
7500057,113332,,Delivery Issue,2022-09-30 08:37:00,Resolved,98,Negative,0
7500059,138076,9194291,Technical Support,2025-02-01 15:57:00,Resolved,77,Negative,1
7500060,120796,,Technical Support,2022-01-08 10:25:00,Escalated,55,Negative,0
7500061,111817,9174420,Wrong Item,2022-07-25 09:16:00,Resolved,26,Negative,1
7500063,112601,,Wrong Item,2024-08-12 23:39:00,Resolved,50,Negative,0
7500065,137255,9204497,Technical Support,2024-04-04 12:34:00,Resolved,54,Negative,1
7500066,115852,9179090,Unknown,2022-01-21 17:12:00,Open,17,Neutral,1
7500067,134455,,Refund,2022-10-24 09:51:00,Escalated,23,Negative,0
7500068,127045,9189206,Delivery Issue,2022-09-01 22:22:00,Open,11,Negative,1
7500069,102765,9123971,Cancellation,2023-02-25 21:44:00,Resolved,38,Negative,1
7500070,137744,,Delivery Issue,2024-08-07 14:59:00,Resolved,62,Neutral,0
7500071,107599,9192581,Delivery Issue,2023-08-14 20:51:00,Escalated,5,Negative,1
7500072,107200,9240005,Refund,2022-07-15 00:49:00,Resolved,12,Negative,1
7500073,121384,9104638,Cancellation,2023-03-08 13:24:00,Escalated,106,Neutral,1
7500074,131023,,Account Issue,2022-02-03 10:51:00,Resolved,68,Negative,0
7500075,147095,9190939,Delivery Issue,2023-07-07 21:23:00,Open,11,Negative,1
7500076,120106,9093134,Account Issue,2026-01-26 10:00:00,Resolved,165,Neutral,1
7500077,116235,9208389,Return Request,2022-09-27 09:40:00,Resolved,93,Positive,1
7500078,116615,9176849,Product Quality,2024-12-15 21:20:00,Open,117,Neutral,1
7500081,120019,,Delivery Issue,2024-09-27 21:16:00,Open,82,Negative,0
7500082,122681,9067820,Delivery Issue,2023-07-24 21:23:00,Resolved,31,Neutral,1
7500083,118774,9207921,Delivery Issue,2023-12-31 17:40:00,Escalated,20,Negative,1
7500084,141615,,Refund,2023-10-24 00:03:00,Resolved,133,Neutral,0
7500088,111373,9218141,Unknown,2024-09-30 17:20:00,Resolved,17,Negative,1
7500089,143269,9165668,Return Request,2023-07-01 21:19:00,Resolved,1,Unknown,1
7500090,122285,9103902,Cancellation,2023-02-03 21:56:00,Resolved,9,Neutral,1
7500091,108314,9146363,Wrong Item,2025-01-14 14:32:00,Open,34,Neutral,1
7500092,113131,9021338,Account Issue,2022-03-25 18:04:00,Escalated,185,Neutral,1
7500093,139358,9062064,Payment Issue,2024-07-13 09:13:00,Open,87,Neutral,1
7500094,112202,9238727,Payment Issue,2023-01-18 18:10:00,Open,24,Neutral,1
7500095,126792,9007631,Wrong Item,2024-11-08 22:54:00,Resolved,1,Neutral,1
7500097,116409,9049733,Delivery Issue,2024-05-19 23:11:00,Open,24,Neutral,1
7500098,125550,,Payment Issue,2022-09-22 13:55:00,Resolved,18,Negative,0
7500099,140393,9135425,Account Issue,2023-10-17 18:59:00,Escalated,12,Neutral,1
7500100,118203,9240975,Account Issue,2024-09-16 01:05:00,Escalated,142,Neutral,1
7500103,118295,9231575,Cancellation,2022-07-26 21:56:00,Open,27,Negative,1
7500105,131574,9223502,Delivery Issue,2022-06-10 21:30:00,Escalated,177,Unknown,1
7500106,123927,9214185,Account Issue,2023-10-22 21:00:00,Resolved,22,Negative,1
7500107,119535,9052907,Payment Issue,2024-04-22 20:18:00,Resolved,16,Negative,1
7500108,143234,9238574,Payment Issue,2023-05-26 18:30:00,Escalated,40,Unknown,1
7500109,133047,9026991,Wrong Item,2024-07-16 09:43:00,Open,21,Neutral,1
7500110,132755,9148482,Product Quality,2023-09-25 23:13:00,Resolved,18,Negative,1
7500111,100422,9004486,Delivery Issue,2024-07-19 20:42:00,Open,65,Neutral,1
7500112,140036,9135219,Refund,2022-10-12 20:49:00,Resolved,148,Negative,1
7500114,109774,9236102,Wrong Item,2025-03-28 15:23:00,Resolved,58,Positive,1
7500116,100764,9182969,Unknown,2022-07-14 18:06:00,Open,19,Negative,1
7500117,144026,9213830,Delivery Issue,2023-01-10 04:23:00,Open,71,Neutral,1
7500118,138525,9042331,Cancellation,2024-07-22 17:17:00,Open,7,Negative,1
7500119,133406,,Account Issue,2023-02-13 20:22:00,Resolved,164,Neutral,0
7500120,123168,9186969,Wrong Item,2024-04-14 08:53:00,Resolved,51,Positive,1
7500121,134364,9033821,Payment Issue,2024-03-31 19:58:00,Resolved,4,Negative,1
7500122,120371,9169959,Product Quality,2022-05-10 21:50:00,Open,15,Negative,1
7500123,125263,9208421,Delivery Issue,2024-11-06 19:16:00,Open,64,Neutral,1
7500124,131507,9031142,Return Request,2025-02-04 05:41:00,Resolved,65,Neutral,1
7500125,128894,9028686,Wrong Item,2022-02-26 19:00:00,Escalated,134,Unknown,1
7500128,113975,9226457,Payment Issue,2023-12-08 15:50:00,Resolved,12,Negative,1
7500129,148361,9163050,Payment Issue,2023-01-20 09:30:00,Escalated,8,Negative,1
7500131,129755,9155516,Refund,2022-10-24 20:39:00,Open,10,Neutral,1
7500134,143416,9149575,Account Issue,2022-08-17 22:38:00,Open,72,Neutral,1
7500135,110957,9074432,Cancellation,2023-05-13 10:36:00,Resolved,3,Neutral,1
7500136,120078,9120201,Delivery Issue,2023-09-19 07:31:00,Open,152,Positive,1
7500137,108658,9216258,Return Request,2023-01-23 09:02:00,Resolved,13,Negative,1
7500138,116091,9132418,Account Issue,2023-07-11 13:56:00,Open,19,Neutral,1
7500140,108808,9048777,Return Request,2023-05-26 20:31:00,Resolved,18,Neutral,1
7500141,106713,9227081,Cancellation,2024-03-25 14:44:00,Open,21,Unknown,1
7500142,148148,9198546,Technical Support,2023-03-08 19:48:00,Resolved,162,Negative,1
7500144,137253,9080057,Delivery Issue,2024-03-30 15:14:00,Escalated,61,Negative,1
7500145,121687,9096768,Wrong Item,2025-01-28 20:03:00,Open,24,Negative,1
7500147,130888,9132287,Delivery Issue,2024-08-18 19:40:00,Resolved,17,Negative,1
7500148,119346,9049616,Delivery Issue,2024-08-14 18:30:00,Open,47,Negative,1
7500149,123869,9109081,Unknown,2023-03-22 17:51:00,Resolved,41,Negative,1
7500150,136000,9163146,Cancellation,2022-06-30 09:12:00,Resolved,58,Negative,1
7500151,139475,9239503,Delivery Issue,2025-01-02 22:51:00,Resolved,113,Negative,1
7500153,145709,9035857,Product Quality,2022-08-29 20:17:00,Open,2,Neutral,1
7500154,128252,9035391,Payment Issue,2022-12-29 13:54:00,Open,43,Positive,1
7500155,134721,9090651,Delivery Issue,2023-09-25 20:11:00,Escalated,15,Positive,1
7500156,123908,,Delivery Issue,2023-10-19 10:32:00,Escalated,22,Neutral,0
7500157,137084,9225938,Refund,2023-01-04 17:56:00,Resolved,4,Positive,1
7500159,117240,9122616,Delivery Issue,2022-12-24 22:06:00,Closed,10,Neutral,1
7500160,121887,9015517,Payment Issue,2023-03-15 17:05:00,Resolved,33,Positive,1
7500161,119944,9041427,Unknown,2024-07-08 20:45:00,Resolved,15,Negative,1
7500162,148765,9141887,Delivery Issue,2022-05-07 19:15:00,Resolved,45,Positive,1
7500163,126379,9245521,Delivery Issue,2022-12-31 21:29:00,Resolved,63,Unknown,1
7500164,149672,9225715,Payment Issue,2023-03-13 14:35:00,Resolved,24,Positive,1
7500166,121319,9209179,Unknown,2023-05-06 13:31:00,Escalated,30,Positive,1
7500167,127746,9182777,Wrong Item,2023-10-15 09:00:00,Open,2,Neutral,1
7500169,126514,9035545,Cancellation,2024-07-25 19:26:00,Resolved,168,Positive,1
7500170,129326,9151234,Return Request,2023-12-22 19:27:00,Escalated,178,Positive,1
7500171,147785,9024491,Cancellation,2024-07-14 08:10:00,Open,153,Negative,1
7500172,147956,,Payment Issue,2024-10-21 23:42:00,Escalated,15,Negative,0
7500173,149016,9226994,Refund,2024-09-09 12:36:00,Resolved,9,Positive,1
7500174,126943,9216377,Cancellation,2023-10-13 17:32:00,Resolved,24,Negative,1
7500175,148160,,Cancellation,2024-07-09 18:04:00,Open,1,Negative,0
7500177,134094,9098487,Account Issue,2023-07-20 19:41:00,Open,19,Positive,1
7500178,122540,9168839,Return Request,2024-08-29 08:33:00,Resolved,62,Positive,1
7500179,104500,9209206,Wrong Item,2023-03-18 18:26:00,Resolved,21,Neutral,1
7500181,114784,9189587,Payment Issue,2022-03-23 16:48:00,Open,22,Neutral,1
7500182,123775,,Product Quality,2024-08-25 13:07:00,Open,31,Unknown,0
7500184,111234,9001930,Unknown,2022-09-21 11:04:00,Resolved,31,Positive,1
7500186,130452,9183566,Unknown,2022-12-10 09:25:00,Open,53,Negative,1
7500187,121135,9143340,Wrong Item,2023-08-11 19:44:00,Escalated,12,Neutral,1
7500190,125099,9092870,Product Quality,2023-02-06 08:24:00,Resolved,17,Negative,1
7500191,111165,9194316,Unknown,2023-05-01 15:28:00,Resolved,112,Neutral,1
7500192,102034,9208843,Cancellation,2023-12-26 17:19:00,Escalated,27,Negative,1
7500193,115285,9066516,Account Issue,2025-02-11 19:40:00,Resolved,9,Negative,1
7500196,141598,9031782,Technical Support,2024-05-31 09:51:00,Resolved,97,Neutral,1
7500197,126996,,Delivery Issue,2022-05-11 23:45:00,Escalated,26,Positive,0
7500198,127716,9143680,Product Quality,2024-09-28 13:48:00,Escalated,17,Negative,1
7500199,127975,9184886,Product Quality,2022-10-31 23:49:00,Resolved,138,Negative,1
7500200,110952,9000584,Unknown,2023-09-30 12:47:00,Open,6,Neutral,1
7500201,117130,9125420,Payment Issue,2023-01-10 21:51:00,Resolved,59,Negative,1
7500202,147942,,Product Quality,2022-03-03 14:34:00,Resolved,45,Neutral,0
7500203,132785,9043363,Return Request,2024-04-04 18:53:00,Escalated,32,Neutral,1
7500205,115275,9114150,Refund,2024-08-12 15:51:00,Open,36,Negative,1
7500207,124501,9112111,Product Quality,2023-08-26 19:31:00,Open,10,Neutral,1
7500208,143976,9046807,Payment Issue,2022-12-22 11:20:00,Resolved,8,Positive,1
7500209,140377,9034989,Return Request,2023-06-02 07:05:00,Resolved,8,Negative,1
7500210,136526,9079341,Refund,2022-11-07 13:29:00,Resolved,99,Positive,1
7500211,137980,9051064,Return Request,2024-11-24 19:42:00,Open,19,Negative,1
7500212,147957,9011413,Wrong Item,2024-10-22 13:12:00,Resolved,6,Negative,1
7500213,104021,9087594,Unknown,2023-01-27 18:43:00,Closed,185,Positive,1
7500214,105851,9027535,Unknown,2025-03-23 21:34:00,Resolved,20,Positive,1
7500215,108724,9067488,Product Quality,2024-01-05 15:48:00,Resolved,22,Negative,1
7500216,139315,9051166,Product Quality,2022-10-16 21:16:00,Open,12,Neutral,1
7500217,109506,9111720,Account Issue,2023-10-18 05:01:00,Open,2,Negative,1
7500218,101638,9218244,Product Quality,2022-12-26 13:34:00,Open,112,Positive,1
7500219,145221,9106856,Account Issue,2022-11-02 22:53:00,Open,8,Negative,1
7500221,110188,9077144,Payment Issue,2022-02-24 19:52:00,Open,10,Negative,1
7500222,138737,9086974,Return Request,2022-10-27 08:11:00,Closed,60,Positive,1
7500223,107055,9158445,Refund,2023-12-10 20:52:00,Resolved,3,Negative,1
7500226,101382,,Delivery Issue,2024-05-06 21:20:00,Escalated,71,Negative,0
7500228,105624,9084175,Delivery Issue,2022-11-07 08:22:00,Resolved,43,Positive,1
7500229,141729,9115646,Return Request,2023-08-20 12:11:00,Resolved,58,Positive,1
7500231,112287,,Account Issue,2023-01-22 17:52:00,Resolved,87,Negative,0
7500232,109598,9023639,Wrong Item,2025-02-03 07:55:00,Escalated,53,Negative,1
7500233,118289,9105396,Product Quality,2024-02-02 08:44:00,Open,13,Neutral,1
7500235,116875,9243628,Technical Support,2023-07-02 03:34:00,Open,47,Positive,1
7500236,149937,9159514,Return Request,2025-01-09 17:32:00,Resolved,40,Negative,1
7500237,141407,9021024,Account Issue,2022-06-21 19:30:00,Resolved,17,Negative,1
7500238,124393,9048886,Cancellation,2023-11-24 17:53:00,Resolved,73,Unknown,1
7500239,128984,9173389,Wrong Item,2022-01-02 22:28:00,Open,54,Positive,1
7500241,121649,9081699,Cancellation,2022-05-23 19:17:00,Resolved,54,Neutral,1
7500243,119928,9191334,Product Quality,2023-02-17 09:16:00,Resolved,6,Neutral,1
7500244,111039,9001664,Cancellation,2023-08-27 14:23:00,Resolved,54,Neutral,1
7500245,120885,,Delivery Issue,2024-04-21 20:59:00,Resolved,25,Neutral,0
7500246,144518,9232196,Wrong Item,2022-10-30 18:57:00,Resolved,58,Negative,1
7500247,147975,9178463,Product Quality,2022-08-25 23:09:00,Open,13,Negative,1
7500249,132726,9012253,Account Issue,2024-07-01 21:46:00,Escalated,16,Neutral,1
7500250,110485,9011746,Unknown,2022-07-04 09:40:00,Open,67,Negative,1
7500252,134362,,Payment Issue,2023-01-22 19:54:00,Open,43,Negative,0
7500253,137658,9037890,Unknown,2023-03-16 03:07:00,Escalated,16,Negative,1
7500254,132137,9002834,Return Request,2022-04-26 04:41:00,Escalated,26,Negative,1
7500255,102731,,Payment Issue,2023-11-15 09:00:00,Open,9,Neutral,0
7500256,113098,9111322,Return Request,2024-09-24 09:52:00,Open,63,Neutral,1
7500257,133173,9131823,Return Request,2022-02-23 20:09:00,Open,13,Neutral,1
7500259,128129,9161140,Unknown,2024-01-02 22:10:00,Resolved,10,Neutral,1
7500260,127978,,Refund,2022-11-03 21:07:00,Resolved,121,Negative,0
7500261,100795,9222409,Unknown,2023-09-10 16:32:00,Resolved,42,Positive,1
7500263,143029,,Refund,2024-11-01 11:08:00,Resolved,17,Negative,0
7500264,139250,,Refund,2023-11-08 15:07:00,Open,51,Neutral,0
7500265,145203,9100152,Account Issue,2022-02-28 17:00:00,Resolved,173,Positive,1
7500266,142781,9000806,Unknown,2024-05-15 10:28:00,Resolved,49,Positive,1
7500268,111918,9092389,Cancellation,2022-06-30 08:00:00,Resolved,15,Negative,1
7500269,142671,9226274,Refund,2024-07-24 10:16:00,Resolved,27,Neutral,1
7500270,130367,9182541,Refund,2023-03-31 14:47:00,Open,20,Positive,1
7500271,121119,9126997,Cancellation,2022-01-01 22:43:00,Resolved,40,Negative,1
7500272,122178,,Account Issue,2022-02-07 11:42:00,Resolved,13,Neutral,0
7500273,132712,9093179,Product Quality,2022-05-31 12:22:00,Resolved,170,Unknown,1
7500274,110448,9001497,Return Request,2022-12-03 19:25:00,Escalated,37,Neutral,1
7500275,132334,9003549,Account Issue,2024-12-29 01:56:00,Resolved,5,Positive,1
7500276,149291,9208355,Delivery Issue,2024-12-30 17:01:00,Resolved,4,Negative,1
7500277,122093,9080626,Wrong Item,2022-03-26 06:22:00,Resolved,13,Negative,1
7500278,147790,9094510,Delivery Issue,2022-07-18 22:08:00,Resolved,104,Negative,1
7500280,130629,,Account Issue,2022-10-18 09:47:00,Resolved,36,Negative,0
7500281,132343,9025484,Unknown,2022-03-02 22:40:00,Open,3,Neutral,1
7500282,124325,9163068,Product Quality,2022-02-16 20:01:00,Resolved,83,Positive,1
7500285,121261,,Cancellation,2023-06-03 18:14:00,Resolved,26,Positive,0
7500286,127734,9011239,Account Issue,2024-07-24 10:04:00,Resolved,23,Neutral,1
7500287,127401,9069489,Product Quality,2024-10-10 20:10:00,Resolved,66,Negative,1
7500288,138147,9249088,Payment Issue,2024-04-29 08:43:00,Resolved,5,Negative,1
7500291,113224,9076751,Unknown,2025-01-03 06:50:00,Resolved,137,Negative,1
7500292,107032,9168204,Payment Issue,2022-08-13 18:50:00,Resolved,23,Positive,1
7500293,131327,9140112,Return Request,2022-08-18 21:53:00,Escalated,12,Positive,1
7500294,146291,9122868,Delivery Issue,2024-04-02 19:12:00,Resolved,9,Positive,1
7500296,129718,9171636,Unknown,2023-11-23 08:24:00,Resolved,17,Negative,1
7500297,112898,9046107,Refund,2024-08-20 08:04:00,Resolved,6,Positive,1
7500299,106183,9082114,Refund,2022-01-07 10:25:00,Open,76,Negative,1
7500300,147016,,Wrong Item,2023-10-30 18:20:00,Resolved,14,Negative,0
7500301,135783,9208544,Cancellation,2023-09-22 11:09:00,Open,20,Negative,1
7500302,135812,9032106,Delivery Issue,2023-06-29 06:09:00,Resolved,16,Unknown,1
7500303,120014,,Wrong Item,2024-04-30 17:48:00,Resolved,8,Unknown,0
7500304,130709,9104845,Delivery Issue,2022-10-21 23:44:00,Resolved,39,Negative,1
7500305,107805,9048665,Technical Support,2022-07-07 04:19:00,Resolved,2,Negative,1
7500306,141731,9162471,Return Request,2023-07-18 18:49:00,Resolved,67,Negative,1
7500308,144619,9027335,Wrong Item,2022-04-30 19:57:00,Resolved,31,Neutral,1
7500309,109495,9008364,Account Issue,2022-04-23 13:44:00,Escalated,7,Negative,1
7500310,145957,9088858,Delivery Issue,2022-05-01 14:17:00,Resolved,8,Negative,1
7500311,141873,9189363,Account Issue,2022-08-15 11:27:00,Resolved,62,Neutral,1
7500312,125625,9180674,Technical Support,2025-01-06 19:24:00,Escalated,3,Negative,1
7500313,142369,9035156,Account Issue,2024-01-11 15:25:00,Resolved,7,Negative,1
7500314,129074,9244793,Product Quality,2022-07-29 11:51:00,Escalated,45,Neutral,1
7500315,133606,9031029,Unknown,2024-06-06 17:37:00,Open,65,Negative,1
7500316,126798,9169281,Return Request,2022-02-27 09:44:00,Resolved,83,Negative,1
7500317,132655,,Wrong Item,2022-12-24 20:14:00,Open,17,Negative,0
7500318,134377,9062608,Refund,2026-02-23 10:00:00,Open,103,Neutral,1
7500319,130617,9128624,Delivery Issue,2022-06-09 03:51:00,Open,17,Negative,1
7500320,112448,,Account Issue,2023-03-09 18:32:00,Resolved,37,Negative,0
7500321,114199,9105355,Technical Support,2024-12-09 16:52:00,Escalated,33,Negative,1
7500322,132647,9085359,Product Quality,2023-06-07 18:02:00,Open,74,Negative,1
7500324,110140,9022241,Technical Support,2026-01-25 10:00:00,Resolved,9,Positive,1
7500325,140638,9041318,Wrong Item,2022-10-26 20:46:00,Escalated,1,Negative,1
7500326,120200,9169586,Account Issue,2022-03-22 14:01:00,Resolved,53,Neutral,1
7500327,109525,,Return Request,2022-03-19 05:45:00,Resolved,35,Negative,0
7500329,110514,9085517,Technical Support,2024-10-28 21:04:00,Resolved,125,Negative,1
7500330,138142,9067856,Cancellation,2023-06-27 23:27:00,Open,48,Positive,1
7500331,102434,9113037,Return Request,2023-06-15 18:56:00,Escalated,59,Neutral,1
7500332,129094,9242730,Account Issue,2024-09-12 07:19:00,Open,120,Neutral,1
7500333,105079,9180888,Product Quality,2024-09-13 17:14:00,Escalated,12,Negative,1
7500334,130780,9038660,Unknown,2024-12-10 10:25:00,Closed,137,Unknown,1
7500336,137648,9162823,Technical Support,2023-04-01 16:17:00,Closed,25,Neutral,1
7500337,139581,9157784,Product Quality,2025-01-10 18:14:00,Resolved,22,Negative,1
7500338,122957,9102698,Delivery Issue,2025-03-19 10:08:00,Open,48,Neutral,1
7500339,148369,9033638,Unknown,2022-05-24 12:22:00,Open,89,Positive,1
7500340,132389,9045489,Refund,2024-07-31 15:51:00,Resolved,18,Negative,1
7500341,100756,9118732,Technical Support,2022-02-03 11:40:00,Open,70,Negative,1
7500342,125610,9237804,Product Quality,2022-01-21 20:53:00,Open,54,Positive,1
7500343,103381,9166685,Payment Issue,2023-09-28 10:56:00,Resolved,35,Negative,1
7500344,126273,9246845,Return Request,2023-02-21 06:19:00,Resolved,42,Positive,1
7500345,101655,9167349,Refund,2024-03-01 12:43:00,Resolved,35,Negative,1
7500346,135836,9053649,Cancellation,2022-07-04 09:35:00,Resolved,17,Negative,1
7500347,144392,,Technical Support,2024-01-02 10:34:00,Resolved,24,Neutral,0
7500348,143067,9202919,Technical Support,2022-10-29 16:13:00,Escalated,7,Negative,1
7500349,139138,,Return Request,2022-01-17 09:46:00,Resolved,19,Negative,0
7500350,120258,,Account Issue,2024-02-29 06:38:00,Resolved,29,Positive,0
7500351,148291,9046641,Wrong Item,2023-07-27 08:15:00,Resolved,20,Negative,1
7500352,139138,9160920,Wrong Item,2025-01-05 09:22:00,Closed,127,Negative,1
7500353,143439,9044398,Refund,2024-12-19 21:31:00,Resolved,2,Positive,1
7500354,141292,9218792,Delivery Issue,2023-08-19 08:49:00,Resolved,14,Negative,1
7500356,139620,9090524,Payment Issue,2023-10-30 10:36:00,Resolved,23,Neutral,1
7500358,142580,9151894,Return Request,2024-10-03 00:53:00,Open,3,Negative,1
7500359,111458,,Account Issue,2024-03-22 22:58:00,Resolved,169,Negative,0
7500360,115047,9165335,Unknown,2022-12-02 12:06:00,Open,135,Unknown,1
7500361,115138,9023139,Refund,2023-10-30 16:54:00,Open,66,Negative,1
7500362,111338,9215497,Refund,2022-11-03 09:52:00,Resolved,7,Negative,1
7500363,111211,,Product Quality,2024-04-11 13:49:00,Resolved,10,Negative,0
7500364,114949,9029720,Refund,2024-09-16 13:17:00,Resolved,60,Neutral,1
7500366,101506,9218494,Return Request,2024-06-23 08:45:00,Open,16,Neutral,1
7500367,103497,9010114,Cancellation,2023-12-07 20:50:00,Resolved,11,Neutral,1
7500369,119485,9122782,Delivery Issue,2022-05-14 18:30:00,Resolved,9,Unknown,1
7500370,134968,9085378,Wrong Item,2022-06-07 20:51:00,Resolved,8,Positive,1
7500371,122361,9226332,Technical Support,2022-09-19 18:20:00,Resolved,12,Negative,1
7500372,101087,9170783,Payment Issue,2024-10-01 21:18:00,Open,43,Positive,1
7500373,114647,9249414,Unknown,2022-10-21 10:19:00,Closed,181,Neutral,1
7500374,120969,9004840,Return Request,2023-04-26 13:25:00,Open,75,Neutral,1
7500376,111341,9006700,Return Request,2024-03-01 07:23:00,Escalated,10,Negative,1
7500377,108480,9076799,Return Request,2022-08-05 19:10:00,Resolved,63,Neutral,1
7500379,102073,9166349,Refund,2024-04-13 07:34:00,Resolved,38,Neutral,1
7500380,133609,9132495,Wrong Item,2024-01-01 23:58:00,Open,39,Neutral,1
7500381,144086,9091197,Delivery Issue,2024-07-16 18:09:00,Escalated,22,Neutral,1
7500382,141107,,Delivery Issue,2024-07-19 19:59:00,Resolved,11,Negative,0
7500383,132794,9093561,Product Quality,2024-02-22 10:04:00,Escalated,18,Neutral,1
7500384,137605,,Account Issue,2023-02-19 21:38:00,Resolved,32,Negative,0
7500386,105366,9129352,Unknown,2022-12-20 19:42:00,Open,53,Positive,1
7500387,119136,9161759,Cancellation,2024-05-24 22:03:00,Resolved,28,Negative,1
7500388,107259,9244803,Refund,2023-07-14 18:56:00,Closed,91,Neutral,1
7500389,121835,9225773,Refund,2024-09-02 09:10:00,Resolved,20,Unknown,1
7500391,133045,9160851,Return Request,2024-08-15 23:10:00,Resolved,44,Neutral,1
7500392,135789,9019126,Payment Issue,2024-07-15 10:01:00,Resolved,3,Negative,1
7500393,130741,9090555,Refund,2024-09-23 21:28:00,Open,5,Neutral,1
7500394,148016,9246699,Product Quality,2025-03-23 19:27:00,Open,65,Negative,1
7500395,118603,9124571,Return Request,2023-01-05 20:54:00,Resolved,130,Negative,1
7500396,126738,9027299,Payment Issue,2023-04-25 03:13:00,Resolved,130,Neutral,1
7500397,130660,,Product Quality,2022-03-30 14:56:00,Escalated,22,Neutral,0
7500398,115749,9039511,Wrong Item,2024-11-29 21:00:00,Open,2,Negative,1
7500399,102090,9015400,Cancellation,2022-07-23 22:58:00,Resolved,19,Negative,1
7500400,100697,9248915,Technical Support,2022-06-13 20:04:00,Resolved,65,Neutral,1
7500401,116463,9010871,Return Request,2024-11-03 17:56:00,Resolved,63,Positive,1
7500402,109032,9224133,Delivery Issue,2025-02-22 17:40:00,Escalated,16,Negative,1
7500403,126380,,Cancellation,2024-02-26 18:09:00,Resolved,15,Negative,0
7500407,129829,9150658,Account Issue,2022-09-08 15:27:00,Escalated,1,Neutral,1
7500408,119251,9000771,Unknown,2023-10-18 08:32:00,Resolved,111,Neutral,1
7500409,134920,9208342,Account Issue,2022-10-13 08:00:00,Resolved,42,Neutral,1
